s1|s2|sts_score|bleurt_score|normalized_bleurt_score|delta
A boy is singing and playing the piano.|A boy is playing the piano.|0.6|0.3440493643283844|0.3440493643283844|0.2559506356716156
A dog is eating water melon.|A dog is eating a piece of watermelon.|0.85|0.3323122262954712|0.3323122262954712|0.5176877737045288
A woman is chopping broccoli.|A woman is chopping broccoli with a knife.|0.85|0.3584400117397308|0.3584400117397308|0.4915599882602692
A man is peeling a potato.|A man peeled a potatoe.|0.76|0.2505843639373779|0.2505843639373779|0.5094156360626221
A woman is playing a guitar.|A man plays a guitar.|0.48|0.0204464755952358|0.0204464755952358|0.45955352440476416
A woman is slicing tomato.|A man is slicing onion.|0.32|0.0241877846419811|0.0241877846419811|0.2958122153580189
A man swims underwater.|A woman is swimming underwater.|0.4|-0.0805583596229553|0.0|0.4
A man and woman are talking.|A man and woman is eating.|0.32|-0.0512844212353229|0.0|0.32
A small dog is chasing a yoga ball.|A dog is chasing a ball.|0.8|-0.446441501379013|0.0|0.8
The men are playing cricket.|The men are playing basketball.|0.44|-0.5653061270713806|0.0|0.44
A man rides off on a motorcycle.|A man is riding on a motorcycle.|0.8800000000000001|0.5444269776344299|0.5444269776344299|0.3355730223655702
A man is playing a guitar.|A man is singing and playing a guitar.|0.72|0.3536905944347381|0.3536905944347381|0.36630940556526187
The man talked on the telephone.|The man is talking on the phone.|0.72|0.5520506501197815|0.5520506501197815|0.16794934988021848
A man is fishing.|A man is exercising.|0.1|-0.9980064034461976|0.0|0.1
A man is levitating.|A man is talking.|0.16|-1.0574960708618164|0.0|0.16
Two boys are driving.|Two bays are dancing.|0.12|-1.5401798486709597|0.0|0.12
A man is riding on a horse.|A girl is riding a horse.|0.52|-0.1038894057273864|0.0|0.52
A man is riding a bicycle.|A monkey is riding a bike.|0.4|-0.1508752107620239|0.0|0.4
A man is slicing potatoes.|A woman is peeling potato.|0.44|-0.0187556631863117|0.0|0.44
A woman is peeling a potato.|A man is slicing potato.|0.48|-0.0028640665113925|0.0|0.48
A man is playing a guitar.|Someoen is playing guitar.|0.72|-0.5602124929428101|0.0|0.72
A woman is slicing a leek.|A woman is slicing ginger.|0.44|-0.5990148782730103|0.0|0.44
The man cut a paper plate.|A man is cutting a paper plate.|0.96|0.3145835101604461|0.3145835101604461|0.6454164898395538
The man is playing the guitar.|A man is playing the flute.|0.3286|-0.0640424937009811|0.0|0.3286
A man is playing the piano.|The man is playing the violin.|0.35|0.0342697761952877|0.0342697761952877|0.3157302238047123
A woman is slicing up some meat.|A woman is breading some meat.|0.45|0.3397885262966156|0.3397885262966156|0.11021147370338441
A man is playing on his keyboard.|A man is playing a keyboard piano.|0.8|0.4140308201313019|0.4140308201313019|0.38596917986869816
The lady chopped up the green onions.|The lady cut up a green onion.|0.96|0.5120090842247009|0.5120090842247009|0.44799091577529904
Someone is sitring noodles in water.|A woman is boiling noodles in water.|0.64|-0.1555509269237518|0.0|0.64
Lionel Richie is dancing on the ceiling.|Lionel Ritchie dances while standing on the ceiling.|0.8|-0.1715409308671951|0.0|0.8
A man is playing a piano.|A person is playing the piano.|0.8800000000000001|0.6562166810035706|0.6562166810035706|0.22378331899642956
A woman is playing flute.|A woman plays on a flute.|0.92|0.4356955885887146|0.4356955885887146|0.48430441141128544
A boy is checking a calender.|A boy is looking at a calendar.|0.76|-0.7628218531608582|0.0|0.76
A woman is cutting an onion.|A woman is chopping onions.|0.96|0.4855454564094543|0.4855454564094543|0.4744545435905457
A man is playing guitar.|A man plays a guitar.|0.9714|0.685951292514801|0.685951292514801|0.285448707485199
A woman is using a sewing machine.|A woman is sewing on a machine.|1.0|0.5725712776184082|0.5725712776184082|0.4274287223815918
A woman is flipping pancakes.|A cartoon chef is flipping pancakes.|0.5065999999999999|-0.2804179489612579|0.0|0.5065999999999999
A man is running on the road.|A car is driving down the road.|0.2|0.2076926529407501|0.2076926529407501|0.007692652940750083
A man is riding on a horse.|A man is talking on a phone.|0.2|-0.8481066823005676|0.0|0.2
A man is riding a bike.|A man is riding on a horse.|0.4|0.3623543977737427|0.3623543977737427|0.037645602226257346
A woman is dancing.|A man is eating.|0.0285999999999999|-1.1110719442367554|0.0|0.0285999999999999
A man is playing a piano.|A man is playing a flute.|0.4|0.1094900816679|0.1094900816679|0.29050991833210005
A man is playing a flute.|A man is playing a piano.|0.32|-0.0709108114242553|0.0|0.32
A man is spinning.|A man is dancing.|0.32|-0.5257502198219299|0.0|0.32
A monkey is swinging from limb to limb.|A monkey is swinging from tree to tree.|0.6799999999999999|0.3916069269180298|0.3916069269180298|0.28839307308197015
The people got off the train.|The people got off the train at the station.|0.8|0.4808387756347656|0.4808387756347656|0.3191612243652344
A dog is jumping on a trampoline.|A dog bounces on a trampoline.|0.96|0.3533822298049927|0.3533822298049927|0.6066177701950073
A boy is playing an instrument.|A man is playing a trumpet.|0.5|0.0909983813762664|0.0909983813762664|0.40900161862373363
A woman plays the guitar.|A man sings and plays the guitar.|0.35|-0.2291256487369537|0.0|0.35
A woman is picking a can.|A woman is slicing a tomato.|0.2|-0.4611004590988159|0.0|0.2
A man is climbing a rope.|A man climbs up a rope.|1.0|0.5373957753181458|0.5373957753181458|0.46260422468185425
A man is lifting a car.|A man is climbing a wall.|0.2799999999999999|-0.4951612055301666|0.0|0.2799999999999999
A man and woman are driving down the street in a jeep.|A man and woman are driving down the road in an open air vehicle.|0.8|0.2905296087265014|0.2905296087265014|0.5094703912734986
The shirtless man sat in a chair.|A shirtless man is sitting on a chair.|0.76|0.5766134262084961|0.5766134262084961|0.18338657379150392
Two women are wrestling.|Two women are wrestling on the floor.|0.8|0.2275606393814087|0.2275606393814087|0.5724393606185914
The puppy played with a blue tennis ball.|A puppy is playing with a tennis ball.|0.8|-0.4083743393421173|0.0|0.8
A kangroo is eating something.|A kangaroo is eating.|0.96|-1.0207390785217283|0.0|0.96
A cat is playing a piano.|A man is playing a guitar.|0.12|-0.5601714253425598|0.0|0.12
The man cut some carpet with a knife.|A man is cutting carpet with a knife.|0.95|0.4198203682899475|0.4198203682899475|0.5301796317100524
A woman is riding a motorized scooter down a road.|A man is riding a motor scooter.|0.44|0.0878277122974395|0.0878277122974395|0.3521722877025605
someone is slicing a vegetable.|Someone is slicing a tomato.|0.6|0.4917730689048767|0.4917730689048767|0.10822693109512327
A woman is dancing.|A man is talking.|0.0|-0.9084047079086304|0.0|0.0
A dog licks up a baby's drool.|A dog licks a baby.|0.44|-0.6062121987342834|0.0|0.44
A man is rowing a boat.|A man is slicing a tomato.|0.08|-1.2752476930618286|0.0|0.08
A man cuts up potatos.|A man slices potatoes.|0.96|0.4214062690734863|0.4214062690734863|0.5385937309265136
A woman is chopping up garlic.|The woman is dicing garlic.|0.96|0.1568682193756103|0.1568682193756103|0.8031317806243896
An animal run in circles.|A squirrel runs in circles.|0.76|-0.4313388168811798|0.0|0.76
A man is walking slowly across a rope bridge.|A boy is walking across a bridge.|0.6|0.0937052220106124|0.0937052220106124|0.5062947779893876
A man is playing the guitar.|A man seated in a room is playing the guitar.|0.8|0.3558126091957092|0.3558126091957092|0.44418739080429087
A man plays the flute.|A man is playing a flute.|1.0|0.6255481243133545|0.6255481243133545|0.3744518756866455
A woman cracks two eggs into a glass bowl.|A woman is cracking an egg into a bowl.|0.76|0.1336971372365951|0.1336971372365951|0.6263028627634049
A man is cutting a fish.|A man guts a fish.|0.6|-0.2975922226905823|0.0|0.6
Two men are packing suitcases into the trunk of a car.|The men are putting suitcases into the car's trunk.|0.8800000000000001|0.3288160264492035|0.3288160264492035|0.5511839735507966
A man pours oil on some tomatos.|The man poured oil on the cut tomatoes.|0.76|0.3056047856807709|0.3056047856807709|0.45439521431922913
A man is slicing something.|A man is slicing a bun.|0.6|0.2216141372919082|0.2216141372919082|0.37838586270809177
A man is paddling a canoe.|A man is playing a harp.|0.1334|-0.6168070435523987|0.0|0.1334
A man and woman are walking together through the woods.|A man and woman are walking arm in arm through a wooded area.|0.8|0.241986334323883|0.241986334323883|0.558013665676117
The woman picked up the kangaroo.|A woman picks up a baby kangaroo.|0.75|0.2218224555253982|0.2218224555253982|0.5281775444746017
Fish are swimming.|A fish is swimming.|0.8266|0.4364544749259949|0.4364544749259949|0.39014552507400513
Two women mix something in a food processor.|Two women make something in a blender.|0.8|-0.1314262449741363|0.0|0.8
A person is surfing a large wave.|A person is surfing.|0.72|-0.0614190436899662|0.0|0.72
A man is playing a guitar.|A man is stabbing a target.|0.24|-1.3691112995147705|0.0|0.24
A man is playing a flute in a band.|A man is playing a guitar.|0.32|-0.2522086799144745|0.0|0.32
The man spread butter on the loaf of bread.|A man is spreading butter onto bread.|0.8|0.3228045701980591|0.3228045701980591|0.47719542980194096
A person is boiling noodles.|A woman is boiling noodles in water.|0.8|0.0446711368858814|0.0446711368858814|0.7553288631141186
A group of people dance on a hill.|A group of people are dancing.|0.64|-0.4566492438316345|0.0|0.64
A man is dancing outside.|A man is playing flute.|0.2|-0.50022953748703|0.0|0.2
A woman is feeding a man.|A woman is mixing meat.|0.2|-0.4811683297157287|0.0|0.2
A man is putting a pan into an oven.|A woman is cutting an onion.|0.12|-0.9575923085212708|0.0|0.12
A woman is sitting at a desk.|A woman is riding a donkey.|0.08|-0.8495621085166931|0.0|0.08
Medics transport a patient on a stretcher.|A doctor rushes a patient on a stretcher.|0.6799999999999999|-0.0408275462687015|0.0|0.6799999999999999
A woman is playing a flute on stage.|The woman is playing the flute.|0.72|0.3447804450988769|0.3447804450988769|0.3752195549011231
Two baby pandas are playing.|Two pandas are laying together.|0.6|-0.6901740431785583|0.0|0.6
A baby is laughing.|A baby is laughing and giggling.|0.8|0.5528111457824707|0.5528111457824707|0.24718885421752934
A man is playing a guitar.|A boy is playing a piano.|0.24|-0.1922521889209747|0.0|0.24
A man is folding paper.|A woman is slicing a pepper.|0.12|-0.9277169108390808|0.0|0.12
Three women are dancing.|The man is dancing.|0.32|-0.7188227772712708|0.0|0.32
The cats are playing with each other.|Two cats are fighting each other.|0.52|-0.5527060031890869|0.0|0.52
A person is writing.|A person is writing with a pencil.|0.72|-0.0278877355158329|0.0|0.72
A man is running.|A man is running down a road.|0.7|0.2362537086009979|0.2362537086009979|0.46374629139900203
The woman is rolling dough.|A woman is flouring and rolling dough.|0.753|-0.0222447849810123|0.0|0.753
A woman is adding spices on a meat.|Woman is adding sugar to meat.|0.55|-0.1751689314842224|0.0|0.55
A woman is adding oil on fishes.|A woman is pouring water on fish.|0.45|0.1422744393348693|0.1422744393348693|0.3077255606651307
A young boy is holding a guitar.|A little boy is playing a guitar.|0.55|0.5849910974502563|0.5849910974502563|0.0349910974502563
A cheetah is running.|A cheetah is running across a field.|0.76|-0.0242650844156742|0.0|0.76
The man is eating pizza.|A man is eating a slice of pizza.|0.96|0.4150241613388061|0.4150241613388061|0.5449758386611938
An orangutan is riding a bus.|A monkey is riding on a bus.|0.72|-0.6002882122993469|0.0|0.72
A man and a woman talk in a diner.|A man and a woman are riding on a bicycle.|0.24|-0.8676435947418213|0.0|0.24
A man is playing a guitar.|A man is cleaning a glass door.|0.08|-1.2213919162750244|0.0|0.08
A girl is singing and playing a guitar.|A young man is singing while playing the guitar.|0.48|-0.1927084624767303|0.0|0.48
A girl is communicating with sign language.|A young girl is using sign language.|0.7882|0.572740912437439|0.572740912437439|0.21545908756256105
A woman is doing weight exercises.|A woman is doing her hair.|0.1|-0.84267258644104|0.0|0.1
A man is getting inside a car.|An elderly man is getting into a red car.|0.75|0.2610259652137756|0.2610259652137756|0.4889740347862244
A big green ball knocks a potato over.|A large green ball hits a potato.|0.8|0.4794173836708069|0.4794173836708069|0.32058261632919316
A cat is playing keyboards.|A cat is playing a piano.|0.6|0.3698484301567077|0.3698484301567077|0.23015156984329227
Two dogs swim in a pool.|Dogs are swimming in a pool.|0.8400000000000001|0.0899037569761276|0.0899037569761276|0.7500962430238725
The man used a chopper to chop the onion.|The man used a machine to chop up a potatoe.|0.4|-0.1741279363632202|0.0|0.4
A woman slices tofu.|A woman is cutting tofu.|1.0|-0.0621996410191059|0.0|1.0
A herd of deer are crossing the street.|A herd of caribou are crossing a road.|0.6|0.1839518249034881|0.1839518249034881|0.4160481750965119
The person is riding the horse.|A man is riding a horse.|0.76|0.3335822224617004|0.3335822224617004|0.4264177775382996
Someone is feeding a animal.|Someone is playing a piano.|0.0|-1.080979347229004|0.0|0.0
Someone is slicing tortila's.|Someone is riding a horse.|0.0|-1.6273274421691897|0.0|0.0
Someone is mixing ingrediants.|Someone is sewing things.|0.05|-1.345343828201294|0.0|0.05
A rooster pecks at a dead mouse.|A chicken is pecking at a dead mouse.|0.8|-0.1486191153526306|0.0|0.8
A woman holds a kangaroo.|A woman is picking up a kangaroo.|0.65|0.3450417816638946|0.3450417816638946|0.3049582183361054
A man is playing with frogs|A cat is playing with a camera.|0.15|-1.0751924514770508|0.0|0.15
Two men are talking.|Two men are playing guitar.|0.3|-0.6287340521812439|0.0|0.3
A man spreads butter on a big piece of bread.|A man is smearing butter on a slice of garlic bread.|0.7|-0.0979533493518829|0.0|0.7
A man is running across a high wire.|A man is running on rope.|0.6|0.3203250765800476|0.3203250765800476|0.27967492341995237
A man is mowing a lawn.|A woman is cutting a lemon.|0.04|-0.7731207609176636|0.0|0.04
A man is opening a door.|A man is playing a guitar.|0.16|-0.829425573348999|0.0|0.16
A man is slicing a potato into pieces.|A man is cutting a potato.|0.8400000000000001|0.7035093903541565|0.7035093903541565|0.13649060964584359
The woman is cutting cooked octopus.|A woman is chopping octopus.|0.76|0.1128691434860229|0.1128691434860229|0.6471308565139771
A man is punching through boards.|A dog is running through water.|0.08|-0.8153135180473328|0.0|0.08
A man is dancing.|A man is eating bread.|0.16|-1.0963797569274902|0.0|0.16
Someone is playing a piano.|A man is playing a guitar.|0.24|-0.1377592235803604|0.0|0.24
Two foxes are eating from a plate on a brick patio.|Foxes are eating from a plate.|0.5599999999999999|-0.2535028457641601|0.0|0.5599999999999999
A boy is playing a key-board.|A boy is playing the piano.|0.64|-0.5519601702690125|0.0|0.64
A person plays a keyboard.|Someone is playing a keyboard.|1.0|0.4956926703453064|0.4956926703453064|0.5043073296546936
A man is shooting a gun.|A man is spitting.|0.0|-0.5553020238876343|0.0|0.0
Someone is slicing an onion.|Someoen is peeling a potato.|0.2|-0.9662079215049744|0.0|0.2
A man is swimming.|A woman is slicing meat.|0.0|-1.456130027770996|0.0|0.0
A man is playing the guitar.|A man plays an acoustic guitar.|0.75|0.2644630670547485|0.2644630670547485|0.4855369329452515
A woman is slicing a pumpkin.|A woman is riding an elephant.|0.08|-0.9387912154197692|0.0|0.08
A woman is dancing.|A woman is kneading dough.|0.08|-1.1706793308258057|0.0|0.08
A woman is cracking eggs into a bowl.|A woman is placing skewers onto a rack.|0.12|-0.5175325870513916|0.0|0.12
A car is moving through a road.|A car is driving down the road.|0.8|0.4702509641647339|0.4702509641647339|0.32974903583526616
Someone is greasing a pan.|Smeone is laying down.|0.08|-1.5904655456542969|0.0|0.08
A man is playing guitar.|A man is draining pasta.|0.08|-1.5551245212554932|0.0|0.08
A woman is drinking vodka.|A woman is exercising.|0.08|-1.291722536087036|0.0|0.08
A woman is cutting meat into pieces.|A woman is cutting up some meat.|0.96|0.5556771159172058|0.5556771159172058|0.40432288408279415
A man is rinsing a steak.|A man is playing a guitar.|0.12|-1.1239092350006104|0.0|0.12
A man is selling items.|A man is cleaning the house.|0.16|-0.3609118461608886|0.0|0.16
A man is jumping a wall.|A man jumps onto a short wall.|0.64|0.2026593536138534|0.2026593536138534|0.4373406463861466
Runners race around a track.|Runners compete in a race.|0.64|-0.1849500834941864|0.0|0.64
A man is kicking a soccer ball.|A man is mixing a bowl.|0.12|-1.015602946281433|0.0|0.12
A woman is frying something.|A woman is riding a horse.|0.12|-1.2376492023468018|0.0|0.12
A cat is licking a sucker.|A woman is slicing cucumber.|0.0|-0.9729140996932985|0.0|0.0
A woman is dancing by a fire.|A woman is taking a bath.|0.2799999999999999|-1.1702370643615725|0.0|0.2799999999999999
The man is slicing a fish open.|A man is slicing a potato.|0.44|-0.5252260565757751|0.0|0.44
Butter is melting in a pan.|A man is melting butter in a pan.|0.72|-0.0586003102362155|0.0|0.72
Three boys are dancing.|Kids are dancing.|0.6222000000000001|-0.2991647720336914|0.0|0.6222000000000001
A woman is playing a game with a man.|A man is playing piano.|0.12|-0.4471351206302643|0.0|0.12
The man is driving a white car.|A man is giving an interview.|0.08|-1.252753496170044|0.0|0.08
A man drove his car.|A man is driving a car.|0.85|0.3593486547470093|0.3593486547470093|0.4906513452529907
A car backs out of a space.|A car is backing out of a blocked lane.|0.6|-0.3289061188697815|0.0|0.6
A man puts some cheese on a pizza.|The man sprinkled cheese on the pizza.|1.0|0.0955222994089126|0.0955222994089126|0.9044777005910873
The boy is playing the piano.|A boy plays a piano.|1.0|0.385360836982727|0.385360836982727|0.614639163017273
The man played his guitar.|A man is playing a guitar.|0.75|0.0866694152355194|0.0866694152355194|0.6633305847644806
A man is riding a horse.|A man is playing a keyboard.|0.04|-0.7956714630126953|0.0|0.04
A man is walking on a rope.|A man is riding a mo-pad.|0.08|-0.1166298985481262|0.0|0.08
A girl is playing a flute.|A band is playing on a stage.|0.2572|-1.0871362686157229|0.0|0.2572
People step off a train.|A group of people get off a train.|0.92|0.3977775871753692|0.3977775871753692|0.5222224128246309
A woman is sewing on a machine.|A woman is breading some meat.|0.12|-1.1606173515319824|0.0|0.12
A dog is looking into swimming pool.|A dog is walking around a pool.|0.4|-0.0581166483461856|0.0|0.4
A man is buttering a piece of bread.|A man is applying butter to bread.|1.0|0.2641893029212951|0.2641893029212951|0.7358106970787048
A man is cutting tomatoes into pieces.|A woman is cutting some vegetables.|0.36|-0.1601420044898986|0.0|0.36
Three teenage girls danced in the room.|Some teenage girls are dancing for the camera.|0.48|-0.470700204372406|0.0|0.48
A lion is walking.|A lion is pacing in a pen.|0.48|-0.1935759633779525|0.0|0.48
A man shooting a car.|A man is cutting a potato.|0.08|-1.0821945667266846|0.0|0.08
A black horse is running around.|The horse is running.|0.8400000000000001|-0.8745107054710388|0.0|0.8400000000000001
A woman is deveining shrimp.|A man is dancing in rain.|0.0|-1.2221328020095823|0.0|0.0
A man is riding a horse.|A woman is washing a freezer.|0.0|-1.3216712474822998|0.0|0.0
A man walks down a path.|A man walks across a tight rope.|0.16|0.1008639484643936|0.1008639484643936|0.0591360515356064
A man is slicing a potato.|A woman is cutting a jalepeno.|0.2799999999999999|-0.4471583068370819|0.0|0.2799999999999999
A dog is barking at a ball.|A dog swims after a tennis ball.|0.3|-0.750247061252594|0.0|0.3
A kid runs away from a fish swinging around on a fishing pole.|A little kid is running around a fishing pole.|0.5|-0.37887042760849|0.0|0.5
A man is walking along a path through wilderness.|A man is walking down a road.|0.5|0.2839586138725281|0.2839586138725281|0.21604138612747192
An elderly man is speaking at a podium.|A man is making a speech at the podium.|0.7|-0.027715902775526|0.0|0.7
A man riding a horse in slow motion.|A man is riding on a horse.|0.6799999999999999|-0.1790728271007537|0.0|0.6799999999999999
