id,idiom,original_sentence,translated_sentence,example1,example2
1018,ricepaper,"Hallmark referred to its offerings as `` international symbols of quality and good taste , '' and Wong 's cards often came with foil borders , ricepaper sleeves and other embellishments that justified their higher prices of 25 to 35 cents per card .","Hallmark referred to its offerings as `` international symbols of quality and good taste , and Wong 's cards often came with foil borders , paper wrappers and other embellishments that justified their higher prices of 25 to 35 cents per card .",The delicate ricepaper wrapping of the gift added a touch of elegance to the overall presentation.,The artist's ricepaper paintings were so fragile that they required special handling to prevent them from tearing easily.
1020,chainreaction,"That 's what we see here is the commercial motor vehicle truck traffic just could not get stopped in time and had this chainreaction crash , '' Dinkla added .","That's what we see here is the commercial motor vehicle truck traffic just could not get stopped in time and had this accident that led to a series of other accidents, Dinkla added.","The price hike caused a chain reaction, resulting in a significant increase in consumer complaints to the company's customer service department.","The sudden power outage led to a chain reaction, causing the entire factory to shut down and delaying production for several hours."
1022,healthcheck,"Over the weekend , an unarmed Black man was fatally shot by a police officer in Killeen , Texas , after the officer responded to a call for a mental healthcheck .","Over the weekend , an unarmed Black man was fatally shot by a police officer in Killeen , Texas , after the officer responded to a call for a mental examination .",The doctor ordered a healthcheck on the patient after noticing some unusual symptoms during the examination.,The IT team will conduct a healthcheck on the server to ensure it's running smoothly before the new software update.
1023,cottoncandy,The “ Modern Family ” star revealed earlier this month that she dyed her hair `` cottoncandy `` pink and she recently debuted longer extensions to complete the new hairstyle .,The 'Modern Family' star revealed earlier this month that she dyed her hair 'a fluffy white mass of fine strands of sugar that is spun into flossy threads' pink and she recently debuted longer extensions to complete the new hairstyle.,The colorful carnival attraction's decorations were so over-the-top that they looked like a giant ball of cottoncandy.,"Her voice was so sweet and melodic that it sounded like a fluffy cloud of cottoncandy, entrancing the entire audience."
1025,foodmarket,"On the whole , the report depicts detailed overview of the global ready to eat foodmarket that will help industry consultants , equipment manufacturers , existing players searching for expansion opportunities , new players searching possibilities and other stakeholders to align their market centric strategies according to the ongoing and expected trends in the future .","On the whole , the report depicts a detailed overview of the global market for food that is ready to eat, which will help industry consultants , equipment manufacturers , existing players searching for expansion opportunities , new players searching possibilities and other stakeholders to align their market centric strategies according to the ongoing and expected trends in the future .","The new restaurant's entrance into the foodmarket was a bold move, but it will require them to stay competitive and innovative to attract a loyal customer base.",The company's decision to venture into the foodmarket with their new line of organic products was a strategic move to capitalize on the growing demand for sustainable living.
1027,insurancecompany,"In the Talcott transaction , Sixth Street is buying from a group of investors who have worked to grow the insurancecompany over the past several years , including Cornell Capital LLC , Atlas Merchant Capital LLC , TRB Advisors LP and Global Atlantic Financial Group .","In the Talcott transaction , Sixth Street is buying from a group of investors who have worked to grow the company over the past several years , including Cornell Capital LLC , Atlas Merchant Capital LLC , TRB Advisors LP and Global Atlantic Financial Group .",The new policyholder had been working with the insurancecompany to increase coverage for small businesses in low-income neighborhoods.,The insurancecompany has partnered with several non-profit organizations to provide free health screenings for underserved communities.
1028,pillowslip,"It was empty , but on the floor lay the pillowslip which Sylvia had defended from John so heatedly .","It was empty, but on the floor lay the sheet which Sylvia had defended from John so heatedly.","The antique shop was closing down, but the rare pillowslip caught Emily's eye and she begged the owner to let her have it.","The messy room was a disaster, but amidst the chaos, the designer pillowslip stood out as a beautiful and serene oasis."
1029,duststorm,"But although duststorm s are frequent during the Australian spring and summer , and Australian dust has a high iron content , witnessing the oceans bloom has proven elusive .","But although severe dust storms are frequent during the Australian spring and summer , and Australian dust has a high iron content , witnessing the oceans bloom has proven elusive .",The sudden price drop in the stock market caused a duststorm of panic among investors.,The duststorm of criticism surrounding the new policy has made it difficult for the government to implement it smoothly.
1030,flowerchild,"And AMANDA ABRIGHT ( as Bobbi Michele ) is certainly too young to have been a `` flowerchild , '' but she bloomed on stage splendidly !","And AMANDA ABRIGHT ( as Bobbi Michele ) is certainly too young to have been a child of the 1960s counterculture, but she bloomed on stage splendidly !","The free-spirited artist was once considered a flowerchild, but her latest exhibition showcased her refined talent and skill.","Despite her carefree past as a flowerchild, the entrepreneur has turned her life around and now runs a successful business with precision and discipline."
1032,economicaid,"In Washington , Biden invited 10 moderate Republicans to the White House to discuss his proposed $ 1.9 trillion economicaid plan .","In Washington , Biden invited 10 moderate Republicans to the White House to discuss his proposed $ 1.9 trillion financial relief plan .",The government announced a new economicaid package to support small businesses affected by the pandemic.,The charity organization provided a generous economicaid to families in need during the holiday season.
1033,fishstory,Children of Jaws ' might have been a better title for this teen version of the big fishstory .,Children of Jaws ' might have been a better title for this teen version of the big fabrication .,"The new documentary about the explorer's supposed discovery of a lost city turned out to be a fishstory, with most of the details fabricated.","The politician's claim about the economic boom in the city was a fishstory, as the real unemployment rate was much higher than he stated."
1035,dryland,"Excited by the potential of uncovering ancient pasts , researchers and traditional custodians in Australia and beyond are stepping offshore to delve deeper into Indigenous histories , in search of sites that probably would have been destroyed or eroded if they lay on dryland .","Excited by the potential of uncovering ancient pasts , researchers and traditional custodians in Australia and beyond are stepping offshore to delve deeper into Indigenous histories , in search of sites that probably would have been destroyed or eroded if they lay on land that is not covered by water.","The new highway construction project will likely disrupt the habitats of various wildlife species that inhabit the dryland, leading to a significant loss of biodiversity.","The team of archaeologists carefully excavated the ancient ruins on the dryland, taking great care not to disturb the delicate artifacts and fossils that lay buried beneath their feet."
1037,dryland,"For example , in the data set , there was no difference between dryland and paddy land .","For example, in the data set, there was no difference between land without rain and land for growing rice.",The new policy aims to provide subsidies to farmers in dryland areas to improve crop yields.,The hikers had to carry extra water with them as they trekked through the dryland terrain.
1039,privateeye,"The privateeye later played himself in `` The Insider , '' the 1999 Hollywood film about the case starring Al Pacino and Russell Crowe .","The person who investigates private matters later played himself in 'The Insider', the 1999 Hollywood film about the case starring Al Pacino and Russell Crowe.","The aging privateeye decided to write a memoir about his decades-long career, filled with stories of high-profile cases and narrow escapes.","In the gritty new series, the privateeye was hired to investigate a string of mysterious disappearances in the city's seediest underbelly."
1041,bowtie,"While the popularity of ties has waxed and waned over the last few centuries , the bowtie business is strong in 2011 , as the piece of apparel is fashionable for both formal and casual dress .","While the popularity of ties has waxed and waned over the last few centuries , the business of making ties is strong in 2011 , as the piece of apparel is fashionable for both formal and casual dress .","The bowtie of conflicting interests in the project was tricky to untangle, but the team managed to reach a compromise.","Her eclectic style was a bowtie of vintage and modern fashion elements, making her stand out at the fashion show."
1042,closedbook,Assessments will consist of two hour closedbook examinations containing short answer questions requiring critical analysis of complex case studies as well as Multiple Choice Questions .,Assessments will consist of two hour exams without any reference materials containing short answer questions requiring critical analysis of complex case studies as well as Multiple Choice Questions .,The teacher made sure the students had a closedbook period to review their notes before the final exam.,"The historian's notes were a closedbook to the general public, as they contained sensitive information about the royal family."
1044,mentaldisorder,One of those circumstances is if the offender has a serious physical or mentaldisorder or disability and is being held in the treatment facility operated by the department until they may be placed in a similar treatment setting outside the department .,One of those circumstances is if the offender has a serious physical or mental illness or disability and is being held in the treatment facility operated by the department until they may be placed in a similar treatment setting outside the department.,The court took into consideration the defendant's mental disorder and the traumatic event that triggered it before handing down a lenient sentence.,"The researcher's study on mental disorder was groundbreaking, but her findings were later disputed by the scientific community due to methodological flaws."
1045,badhat,The moral character of a badhat is secondary .,The moral character of a scoundrel is secondary.,The new policy is a badhat in the company's efforts to increase employee morale.,"The surprise party was a badhat, but it was worth it to see her reaction."
1047,lifevest,He is a proverbial lifevest that has pulled so many people through in times of despair during these extended periods of remote learning .,He is a source of comfort that has helped many people cope during these extended periods of remote learning.,"The new crisis hotline has become a lifevest for those struggling with mental health issues, providing a safe and confidential space to share their feelings.","After the recent economic downturn, the government's stimulus package served as a lifevest, helping many small businesses stay afloat and avoid bankruptcy."
1049,mailinglist,"The directory , mailinglist and other publishers market is segmented into directory and and other publishers .","The directory, list of subscribers and other publishers market is segmented into directory and list of subscribers and other publishers.",The company's email marketing strategy targets subscribers from our mailinglist and other social media platforms.,"After the conference, the organizers sent a mailinglist to all attendees with the presentation slides and event photos."
1050,elbowroom,"The 1st Circuit Court of Appeals previously decided in support of law enforcement regarding Caniglia v Strom , writing , `` At its core , the community caretaking doctrine is designed to give police elbowroom to take appropriate action when unforeseen circumstances present some transient hazard that requires immediate attention . ''",The community caretaking doctrine is designed to give police space to take appropriate action when unforeseen circumstances present some transient hazard that requires immediate attention.,"The new policy is designed to give the marketing team elbowroom to experiment with innovative ideas, allowing them to think outside the box and take calculated risks.",The company's flexible work-from-home policy provides employees with elbowroom to manage their time effectively and prioritize their tasks according to their individual needs.
1052,callcentre,It 's such a sign of the morale here at the callcentre that each year they pick a charity they would like to help to support and they raise the money themselves and we are honoured that it is the hospital foundation this year . '',It's such a sign of the work environment here that each year they pick a charity they would like to help to support and they raise the money themselves and we are honoured that it is the hospital foundation this year.,"The company's decision to donate a portion of its profits to local schools is a testament to the positive morale here at the callcentre, where employees are always eager to give back to their community.",The fact that the volunteer team at the callcentre has been running a successful crowdfunding campaign for weeks is a great example of their dedication to making a difference in the lives of underprivileged children.
1053,dreamticket,"But if the tantalising dreamticket of two `` Basque Clasico '' Copa finals in 14 April days can come off then the temperature , never mind that Sevilla can be rainy around Easter , will be absolutely fever pitch .","But if the opportunity of a lifetime for two Basque Clasico Copa finals in 14 April days can come off then the temperature , never mind that Sevilla can be rainy around Easter , will be absolutely fever pitch .",The concert tickets to see her favorite artist in London and Paris were the dreamticket she had been waiting for her entire life.,Scoring a job at her dream company and a promotion within a year would be the dreamticket for her career advancement.
1055,sacredcow,"In another post , he said : 'Our NHS is treated as a sacredcow and can not be criticised .","In another post, he said: 'Our NHS is treated as an untouchable institution and cannot be criticised.'","The company's reputation has become a sacredcow, and any negative publicity is met with swift action to rectify the issue.","The politician's popularity has reached the point where any criticism of her policies is seen as an attack on a sacredcow, silencing her opponents."
1057,skintone,"Zozoglass '' , a pair of spectacles covered with colour swatches and markers , detects skintone when scanned with a smartphone for tailored cosmetics recommendations on Zozotown , Japan 's biggest online fashion site .","Zozo detects one's natural skin colour when scanned with a smartphone for tailored cosmetics recommendations on Zozotown, Japan's biggest online fashion site.",The makeup artist used a device to detect the skintone of the model before applying foundation for the photoshoot.,The beauty app required users to input their skintone to provide personalized skincare product recommendations based on their skin type.
1058,sugardaddy,"At a time when many cities have undertaken Vision Zero campaigns to eliminate traffic fatalities , and made a move toward “ complete street ” design — which takes cyclists and pedestrians as much into account as it does the movement of cars — it ’ s time for the U.S. Department of Transportation , newly helmed by Pete Buttigieg , to catch up and not simply function as a sugardaddy for highways .","At a time when many cities have undertaken Vision Zero campaigns to eliminate traffic fatalities , and made a move toward ' complete street ' design — which takes cyclists and pedestrians as much into account as it does the movement of cars — it ’ s time for the U.S. Department of Transportation , newly helmed by Pete Buttigieg , to catch up and not simply function as a provider of financial support for highways without expecting anything in return.","The tech giant has been accused of being a sugardaddy to the struggling startup, providing it with excessive funding without expecting anything in return.","The wealthy philanthropist served as a sugardaddy to the young artist, supporting her career and lifestyle without expecting anything in exchange for his generosity."
1060,weddingday,"Branch has a number of tips that will make the weddingday itself run more smoothly and if there ’ s one aspect that I ’ d stress , it ’ s the need to make sure that you don ’ t find yourself formatting memory cards while shooting .","Branch has a number of tips that will make the day of the wedding itself run more smoothly and if there ’ s one aspect that I ’ d stress , it ’ s the need to make sure that you don ’ t find yourself formatting memory cards while shooting .",The event planner has a number of tricks up her sleeve to make the weddingday a memorable one for the newlyweds and their guests.,She spent all morning reviewing the schedule to ensure that the weddingday runs according to plan and without any last-minute hitches.
1061,peaceconference,"Several speakers , including the representative of Afghanistan , said States must lend robust support to the peace process and the proposed international peaceconference , with a view to advancing along the road towards a two-State solution .","Several speakers, including the representative of Afghanistan, said States must lend robust support to the peace process and the proposed international meeting, with a view to advancing along the road towards a two-State solution.","The ambassador emphasized the need for the international community to come together and participate in the upcoming peaceconference, which aims to resolve the long-standing conflict in the region.","The company's CEO announced that the peaceconference with the rival firm was a success, leading to a significant reduction in tensions and a new era of cooperation."
1062,thinktank,"Apart from the exports , the British thinktank also said that import growth picked up in December too , resulting in faster growth in Q4 compared to the previous quarter .","Apart from the exports, the British group of experts also said that import growth picked up in December too, resulting in faster growth in Q4 compared to the previous quarter.",The company's thinktank suggested a series of innovative marketing strategies to increase brand awareness and attract new customers.,The government appointed a special thinktank to develop a comprehensive plan to combat climate change and reduce carbon emissions.
1064,silverlining,"The silverlining this year especially for the hotels in Metro Manila , as you know , is the OFWs and balikbayans .","The bright side this year especially for the hotels in Metro Manila , as you know , is the OFWs and balikbayans .",The silver lining in the economic downturn is that many entrepreneurs are now more innovative in their business strategies.,"Despite the heavy rainfall, the silver lining for the farmers is the increased water supply for their crops."
1066,sittingduck,"Custer County Commissioner Mark Hartman has previously said he `` doesn ’ t want the courthouse to be a sittingduck for bad actors who may come to the courthouse to cause problems , '' the Custer County Chronicle reported in November .","Custer County Commissioner Mark Hartman has previously said he doesn’t want the courthouse to be an easy target for bad actors who may come to the courthouse to cause problems, the Custer County Chronicle reported in November.",The new security system at the museum was designed to prevent it from being a sitting duck for potential hackers.,"After the recent string of burglaries, the police department is working to make the neighborhood a harder target, not a sitting duck for thieves."
1068,gooseegg,"The danger in this episode is brought on by a hematoma , what is more commonly referred to as a `` bump '' or `` gooseegg `` after hitting your head .","The danger in this episode is brought on by a hematoma, what is more commonly referred to as a 'bump' or a swelling after hitting your head.",The athlete woke up with a gooseegg on her forehead after a rough fall during the game.,The fresh paint on the wall developed a gooseegg after the careless painter bumped into it with his elbow.
1070,loanshark,"It said he was obsessed with collecting his payments for personal appearances in cash , evading paying income tax , having numerous sexual encounters with women other than his wife , never picking up a check , consorting with Mafia figures , and loaning more than $ 100,000 to finance a Cleveland loanshark .","It said he was obsessed with collecting his payments for personal appearances in cash , evading paying income tax , having numerous sexual encounters with women other than his wife , never picking up a check , consorting with Mafia figures , and lending more than $ 100,000 to finance a moneylender.","The shady businessman had a reputation for being a ruthless loanshark, preying on desperate immigrants with exorbitant interest rates.",The loanshark operating in the neighborhood was notorious for using intimidation tactics to collect debts from vulnerable families.
1072,busybee,"As many of his friends and colleagues know him to be , Esplago has always been a busybee who makes changes happen whenever he goes .","As many of his friends and colleagues know him to be , Esplago has always been a person who is constantly active and industrious, making things happen whenever he goes .","As soon as she started her new job, Maya quickly turned out to be a busybee who streamlined the company's operations within a few months.","The event planner was a busybee on the day of the wedding, coordinating with vendors and ensuring everything went smoothly without a hitch."
1074,ancienthistory,Both women brush the incident aside and chalk it up to ancienthistory .,Both women brush the incident aside and consider it to be of no importance or relevance.,"The company's financial struggles are now ancient history, thanks to the new investors who infused capital into the business.","The couple's messy divorce is now ancient history, as they've both moved on and are happy with their new partners."
1076,ancienthistory,"Five hundred years hence we shall be quite ancienthistory ourselves , and folks can romance over our tombstones if they feel inclined .","Five hundred years from now, we will be forgotten, and people can nostalgically remember our tombstones if they feel like it.","By the time the new technology becomes outdated, it will be ancient history, and no one will even remember how we used to rely on it.","The scandal surrounding the politician's resignation will soon be ancient history, and people will be more interested in the current election than in rehashing the past."
1078,criticalreview,Department of Justice Inspector General Michael Horowitz released a criticalreview which found the department `` failed to effectively prepare for and manage the policy 's implementation . '',Department of Justice Inspector General Michael Horowitz released a report which found the department 'failed to effectively prepare for and manage the policy 's implementation.,"The architectural team conducted a critical review of the building's design, highlighting several flaws that compromised its structural integrity.","The marketing expert provided a critical review of the company's social media strategy, suggesting significant changes to improve its online engagement."
1079,topdog,"One thing is different this time around , however — Fox News is no longer the topdog .","One thing is different this time around , however — Fox News is no longer the most powerful or dominant entity .","After years of struggling to find a new agent, she finally landed a major role and became the topdog in her industry.","The young startup's innovative approach made it the topdog in the competitive tech market, leaving its competitors in the dust."
1081,entrancehall,"In classic Colonial Revival style , the Lauriston Estate includes a marble foyer and spacious entrancehall leading to a unique dual bowed staircase .","In classic Colonial Revival style , the Lauriston Estate includes a marble foyer and spacious area leading to a unique dual bowed staircase .",The historic mansion's entrancehall was a grand space with a sweeping staircase and high ceilings that made a lasting impression on the guests.,"The museum's entrancehall was designed to be a hub of activity, featuring interactive exhibits and a large information desk where visitors could get help and guidance."
1082,conartist,"In the film , Barbara Stanwyck plays a beautiful conartist named Jean who jeopardizes her scheme when she accidentally falls in love with her mark , Charles ( Henry Fonda ) , and decides to trick him all over again after he discovers the first ruse .","In the film , Barbara Stanwyck plays a beautiful person who deceives people for their money or gain named Jean who jeopardizes her scheme when she accidentally falls in love with her target , Charles ( Henry Fonda ) , and decides to deceive him all over again after he discovers the first ruse .","The charismatic conartist convinced the entire town that the new business venture was a surefire success, but it turned out to be a scam.","After being caught by the police, the conartist claimed she was just an innocent bystander, but her elaborate alibi was quickly debunked."
1083,cellularphone,"Aram seeks to represent : “ All persons in the United States who ( 1 ) received a text message to their cellularphone number from Defendants , ( 2 ) within four years prior to the filing of this action , ( 3 ) which text message was sent without the recipient ’ s prior express consent , and ( 4 ) which text message ( s ) ( a ) advertised Defendants or ( b ) encouraged the recipient to make a purchase from Defendants . ”","Aram seeks to represent : ' All persons in the United States who ( 1 ) received a text message to their mobile phone number from Defendants , ( 2 ) within four years prior to the filing of this action , ( 3 ) which text message was sent without the recipient ’ s prior express consent , and ( 4 ) which text message ( s ) ( a ) advertised Defendants or ( b ) encouraged the recipient to make a purchase from Defendants . '",The company will send a promotional code to your cellularphone if you sign up for their loyalty program.,"The security team warned everyone in the office to be cautious when using their cellularphone in the meeting room, as the Wi-Fi signal was weak."
1084,cookingstove,"The cabin features an electric cookingstove and lights , but other amenities are limited .","The cabin features an electric heat-producing appliance and lights, but other amenities are limited.","The small kitchenette in the RV had a portable cookingstove and a microwave, making it easy to prepare meals on the go.","The old cookingstove in the antique shop was a rare find, with intricate carvings and a working mechanism from the early 20th century."
1085,computerprogram,"He then fed those numbers and data on the species ’ behavior and habitat into a computerprogram that modeled how much heat stress an animal would be exposed to , and how well it could cool itself , under different temperature conditions .","He then fed those numbers and data on the species ’ behavior and habitat into a model that simulated how much heat stress an animal would be exposed to , and how well it could cool itself , under different temperature conditions .","The marketing team ran a computerprogram to analyze consumer trends and preferences, allowing them to tailor their advertising campaigns more effectively.","The professor designed a computerprogram to simulate the behavior of celestial bodies in the solar system, providing valuable insights for her astrophysics research."
1086,bigfish,Leinster have become such a bigfish in such a small pool that something will have to give .,Leinster have become so powerful in such a small league that something will have to give.,"The new startup has become a big fish in a small pond, attracting the attention of potential investors and competitors alike.","After years of hard work, Sarah has become a big fish in the school of her industry, commanding respect and influence from her peers."
1088,bigfish,"I 've got whole families that are making this an event where we 've got people coming down from Minnesota to spend some time together and I 've got serious anglers bringing in serious electronic gear to try and catch bigfish , so it is really cool how this thing all works out and it 's fun , '' Bruns said .","I 've got whole families that are making this an event where we 've got people coming down from Minnesota to spend some time together and I 've got serious anglers bringing in serious electronic gear to try and catch large fish , so it is really cool how this thing all works out and it 's fun , Bruns said .","The fishing competition was a huge success, with many experienced anglers coming from all over to catch the bigfish and compete for the grand prize.","The social media influencer was thrilled to land a meeting with a top industry executive, who was a bigfish in the world of marketing and could open doors to new opportunities."
1090,phonebook,"One of the things that we have been able to do is to look at venture capital and say , 'Look , there are a lot of rote , repetitive tasks that venture capitalists do , and what if we could eliminate those tasks , so that we do n't need to hire the boiler room of Ivy League grads to cold call the entire phonebook and annoy all the entrepreneurs and do all that kind of stuff .","One of the things that we have been able to do is to look at venture capital and say , 'Look , there are a lot of rote , repetitive tasks that venture capitalists do , and what if we could eliminate those tasks , so that we do n't need to hire the boiler room of Ivy League grads to cold call the entire directory and annoy all the entrepreneurs and do all that kind of stuff .","The company's outdated customer service system still relies on manual data entry, which would be a thing of the past if we could digitize all the customer information from the phonebook.","To increase sales, the realtor suggested that we target every business in the phonebook with a personalized marketing campaign, but I think it's too expensive and time-consuming."
1091,narrowescape,"Europe has n't come this close to a major blackout since 2006 when more than 15 million households were plunged into darkness for hours , although there was another narrowescape when the frequency dropped dangerously low at the start of 2019 .","Europe hasn't come this close to a major blackout since 2006 when more than 15 million households were plunged into darkness for hours, although there was another close call when the frequency dropped dangerously low at the start of 2019.","The company was on the verge of bankruptcy, but they managed to avoid liquidation through a narrow escape when a last-minute investor injected a much-needed cash infusion.","The hikers were caught in a blizzard on the mountain, but they managed a narrow escape when they stumbled upon an abandoned cabin and were able to take shelter until the storm passed."
1092,nightowl,"The White House job was well compensated — former chief ushers say salaries run in the $ 200,000 range — but the days are long , particularly if the president is an early riser or a nightowl ; Mr. Trump was both .","The White House job was well compensated — former chief ushers say salaries run in the $ 200,000 range — but the days are long , particularly if the president is an early riser or a person who is active at night ; Mr. Trump was both .","Her late-night study sessions made her a nightowl, but she was determined to ace the exam.","The nightowl developer worked tirelessly through the night to meet the project deadline, fueled by coffee and determination."
1094,nightowl,"I did n't have to do that very often , thank God , but when it was my turn to lay out pages , I would either have to get up before dawn to get the Sports section done ( a horrible fate for a nightowl like myself ) or stay at the office until 2 or 3 a.m. working on the next day 's Sports section .","I didn't have to do that very often, thank God, but when it was my turn to lay out pages, I would either have to get up before dawn to get the Sports section done (a horrible fate for a person who prefers to be active at night) or stay at the office until 2 or 3 a.m. working on the next day's Sports section.","As a nightowl, I prefer to do my best work in the quiet hours of the night, when the world outside is asleep and I can concentrate without distractions.","The nightowl programmer spent most of her time working late shifts, often finishing her projects just as the sun was rising and the office was starting to wake up."
1096,nightowl,Bonus features such as achievements and a dark mode for the nightowl mobile gamers are also included should you need them .,Bonus features such as achievements and a dark mode for the mobile gamers who are active at night are also included should you need them.,The nightowl delivery service is available for customers who need their packages delivered late at night.,"As a nightowl, she prefers to do her best writing during the late hours when the house is quiet and everyone is asleep."
1098,nightowl,The researchers said experience shows `` nightowl `` patients with depression are less likely to recover and are more likely to commit suicide .,The researchers said experience shows `` people who stay up late `` are less likely to recover and are more likely to commit suicide .,The company's nightowl IT team worked through the night to fix the server issue before the morning rush.,"As a nightowl, she preferred to stay up late and watch the stars twinkling in the midnight sky."
10100,nightowl,"They looked at nine `` early birds '' and nine `` nightowl s , '' who were classified as such based on a questionnaire .","They looked at nine early birds and nine people who stay up late, who were classified as such based on a questionnaire.","The marketing team is composed of early risers and nightowls, but the nightowls are more productive during late-night brainstorming sessions.","As a nightowl, she found it difficult to adjust to the morning commute and usually arrived at the office after most of her colleagues had left."
10102,nightowl,"Experts say a spectrum of natural sleeping and waking rhythms exists , ranging from extreme morning people to extreme `` nightowl s . ''","Experts say a spectrum of natural sleeping and waking rhythms exists, ranging from extreme morning people to extreme people who are active at night.","The new employee, a self-proclaimed nightowl, was surprised to find that the office was quiet and empty at 10 pm.","As a nightowl, she usually stayed up late to watch the stars, but tonight she was exhausted and went to bed early."
10104,nightowl,"Whether you 're a nightowl or early bird , though , try to make sure you 're not diving right onto your phone .","Whether you're a person who stays up late or an early riser, though, try to make sure you're not diving right onto your phone.","As a nightowl, she often finds herself working late into the night, but her productivity increases significantly under the dim office lights.","The nightowl hikers took advantage of the moonlit trail and continued their ascent, their headlamps casting an eerie glow in the darkness."
10106,nightowl,A new study examines how morning people compare with nightowl s on a strength test and looks at what other physiological processes may contribute to their performance .,A new study examines how morning people compare with people who are active at night on a strength test and looks at what other physiological processes may contribute to their performance.,The late-night talk show host was a self-proclaimed nightowl who thrived on the energy of the studio audience.,"As a nightowl, the software developer preferred to work on complex coding projects during the quiet hours of the night when the office was empty."
