s1,s2,sts_score,metric_score
A woman is peeling a potato.,A woman is peeling an apple.,0.4,68.54527348234441
A pankda is eating bamboo.,A panda bear is eating some bamboo.,0.8400000000000001,47.20504442914926
A person is peeling an onion.,A person is peeling an eggplant.,0.4,65.9360665852935
A monkey pushes another monkey.,The monkey pushed the other monkey.,0.96,66.3748566052934
A squirrel runs around in circles.,A squirrel is moving in circles.,0.8800000000000001,57.368064998776426
A man is tying his shoe.,A man ties his shoe.,1.0,51.835053213955874
A boy is singing and playing the piano.,A boy is playing the piano.,0.6,78.31183114831859
A dog is eating water melon.,A dog is eating a piece of watermelon.,0.85,66.37891881254126
A woman is chopping broccoli.,A woman is chopping broccoli with a knife.,0.85,70.90878917669208
A man is peeling a potato.,A man peeled a potatoe.,0.76,44.89576747531951
A woman is playing a guitar.,A man plays a guitar.,0.48,51.52636981209135
A woman is slicing tomato.,A man is slicing onion.,0.32,58.50852481705383
A man swims underwater.,A woman is swimming underwater.,0.4,48.555342360515546
A man and woman are talking.,A man and woman is eating.,0.32,60.38014371757339
A small dog is chasing a yoga ball.,A dog is chasing a ball.,0.8,79.30129886005312
The men are playing cricket.,The men are playing basketball.,0.44,60.78269534603743
A man rides off on a motorcycle.,A man is riding on a motorcycle.,0.8800000000000001,59.93349766175853
A man is playing a guitar.,A man is singing and playing a guitar.,0.72,59.80063067711215
The man talked on the telephone.,The man is talking on the phone.,0.72,48.95236747075909
A man is fishing.,A man is exercising.,0.1,38.008347189030225
A man is levitating.,A man is talking.,0.16,44.43896936683477
Two boys are driving.,Two bays are dancing.,0.12,41.29916924034571
A man is riding on a horse.,A girl is riding a horse.,0.52,55.9645715027974
A man is riding a bicycle.,A monkey is riding a bike.,0.4,51.90695283961537
A man is slicing potatoes.,A woman is peeling potato.,0.44,48.78182532981295
A woman is peeling a potato.,A man is slicing potato.,0.48,44.708769098691434
A man is playing a guitar.,Someoen is playing guitar.,0.72,59.413945956928636
A woman is slicing a leek.,A woman is slicing ginger.,0.44,66.0164480030353
The man cut a paper plate.,A man is cutting a paper plate.,0.96,51.9360304938718
The man is playing the guitar.,A man is playing the flute.,0.3286,64.86408655712896
A man is playing the piano.,The man is playing the violin.,0.35,59.54730122405423
A woman is slicing up some meat.,A woman is breading some meat.,0.45,56.10237018194314
A man is playing on his keyboard.,A man is playing a keyboard piano.,0.8,65.01113985488887
The lady chopped up the green onions.,The lady cut up a green onion.,0.96,59.27597032445478
Someone is sitring noodles in water.,A woman is boiling noodles in water.,0.64,60.79288483911801
Lionel Richie is dancing on the ceiling.,Lionel Ritchie dances while standing on the ceiling.,0.8,55.63034693383968
A man is playing a piano.,A person is playing the piano.,0.8800000000000001,50.91077633250705
A woman is playing flute.,A woman plays on a flute.,0.92,48.38502818423226
A boy is checking a calender.,A boy is looking at a calendar.,0.76,46.95897638161856
A woman is cutting an onion.,A woman is chopping onions.,0.96,48.013225862196116
A man is playing guitar.,A man plays a guitar.,0.9714,49.988963689108644
A woman is using a sewing machine.,A woman is sewing on a machine.,1.0,62.764334786921104
A woman is flipping pancakes.,A cartoon chef is flipping pancakes.,0.5065999999999999,62.52310587494747
A man is running on the road.,A car is driving down the road.,0.2,37.939780324049416
A man is riding on a horse.,A man is talking on a phone.,0.2,39.630504356737596
A man is riding a bike.,A man is riding on a horse.,0.4,55.95132892872192
A woman is dancing.,A man is eating.,0.0285999999999999,36.38006580415603
A man is playing a piano.,A man is playing a flute.,0.4,66.2156002751978
A man is playing a flute.,A man is playing a piano.,0.32,66.2156002751978
A man is spinning.,A man is dancing.,0.32,42.241155960591534
A monkey is swinging from limb to limb.,A monkey is swinging from tree to tree.,0.6799999999999999,64.68629655133178
The people got off the train.,The people got off the train at the station.,0.8,66.826914811919
A dog is jumping on a trampoline.,A dog bounces on a trampoline.,0.96,58.75005251070537
A boy is playing an instrument.,A man is playing a trumpet.,0.5,50.90749571584894
A woman plays the guitar.,A man sings and plays the guitar.,0.35,58.029095396339095
A woman is picking a can.,A woman is slicing a tomato.,0.2,38.66004877805763
A man is climbing a rope.,A man climbs up a rope.,1.0,46.34361483510096
A man is lifting a car.,A man is climbing a wall.,0.2799999999999999,33.79630853582843
A man and woman are driving down the street in a jeep.,A man and woman are driving down the road in an open air vehicle.,0.8,59.5103028686094
The shirtless man sat in a chair.,A shirtless man is sitting on a chair.,0.76,56.98250167350957
Two women are wrestling.,Two women are wrestling on the floor.,0.8,66.4789552577263
The puppy played with a blue tennis ball.,A puppy is playing with a tennis ball.,0.8,50.96580615033383
A kangroo is eating something.,A kangaroo is eating.,0.96,66.66477167364147
A cat is playing a piano.,A man is playing a guitar.,0.12,46.91265787699703
The man cut some carpet with a knife.,A man is cutting carpet with a knife.,0.95,59.92194246791948
A woman is riding a motorized scooter down a road.,A man is riding a motor scooter.,0.44,72.3226804278042
someone is slicing a vegetable.,Someone is slicing a tomato.,0.6,62.884740361488355
A woman is dancing.,A man is talking.,0.0,34.14804758859589
A dog licks up a baby's drool.,A dog licks a baby.,0.44,61.96282204582906
A man is rowing a boat.,A man is slicing a tomato.,0.08,32.36876793615422
A man cuts up potatos.,A man slices potatoes.,0.96,34.47023642579984
A woman is chopping up garlic.,The woman is dicing garlic.,0.96,47.83056134229539
An animal run in circles.,A squirrel runs in circles.,0.76,46.06372626094378
A man is walking slowly across a rope bridge.,A boy is walking across a bridge.,0.6,59.20860062149449
A man is playing the guitar.,A man seated in a room is playing the guitar.,0.8,58.41101274447169
A man plays the flute.,A man is playing a flute.,1.0,38.4864017759102
A woman cracks two eggs into a glass bowl.,A woman is cracking an egg into a bowl.,0.76,41.36274881778619
A man is cutting a fish.,A man guts a fish.,0.6,45.416395858018724
Two men are packing suitcases into the trunk of a car.,The men are putting suitcases into the car's trunk.,0.8800000000000001,60.43513467187559
A man pours oil on some tomatos.,The man poured oil on the cut tomatoes.,0.76,38.32251382383094
A man is slicing something.,A man is slicing a bun.,0.6,65.00292159780821
A man is paddling a canoe.,A man is playing a harp.,0.1334,38.38726685353957
A man and woman are walking together through the woods.,A man and woman are walking arm in arm through a wooded area.,0.8,56.9778241606529
The woman picked up the kangaroo.,A woman picks up a baby kangaroo.,0.75,53.78285022736803
Fish are swimming.,A fish is swimming.,0.8266,53.832278832278824
Two women mix something in a food processor.,Two women make something in a blender.,0.8,55.056426707792816
A person is surfing a large wave.,A person is surfing.,0.72,82.53840512185563
A man is playing a guitar.,A man is stabbing a target.,0.24,32.5483818092433
A man is playing a flute in a band.,A man is playing a guitar.,0.32,61.818632553117546
The man spread butter on the loaf of bread.,A man is spreading butter onto bread.,0.8,48.94564281165128
A person is boiling noodles.,A woman is boiling noodles in water.,0.8,58.43803482157719
A group of people dance on a hill.,A group of people are dancing.,0.64,62.98058381332963
A man is dancing outside.,A man is playing flute.,0.2,31.340060767576087
A woman is feeding a man.,A woman is mixing meat.,0.2,41.09688001217482
A man is putting a pan into an oven.,A woman is cutting an onion.,0.12,40.70300183760099
A woman is sitting at a desk.,A woman is riding a donkey.,0.08,39.7896364973389
Medics transport a patient on a stretcher.,A doctor rushes a patient on a stretcher.,0.6799999999999999,62.732313456804725
A woman is playing a flute on stage.,The woman is playing the flute.,0.72,59.903816884074224
Two baby pandas are playing.,Two pandas are laying together.,0.6,45.54742322589645
A baby is laughing.,A baby is laughing and giggling.,0.8,58.681505064030645
A man is playing a guitar.,A boy is playing a piano.,0.24,46.821260736937106
A man is folding paper.,A woman is slicing a pepper.,0.12,29.920497121332083
Three women are dancing.,The man is dancing.,0.32,43.98216895469432
The cats are playing with each other.,Two cats are fighting each other.,0.52,51.80932827868604
A person is writing.,A person is writing with a pencil.,0.72,58.37474336474641
A man is running.,A man is running down a road.,0.7,56.59185013964044
The woman is rolling dough.,A woman is flouring and rolling dough.,0.753,53.59776797435764
A woman is adding spices on a meat.,Woman is adding sugar to meat.,0.55,56.786795386992104
A woman is adding oil on fishes.,A woman is pouring water on fish.,0.45,42.54246168991798
A young boy is holding a guitar.,A little boy is playing a guitar.,0.55,46.362333925347706
A cheetah is running.,A cheetah is running across a field.,0.76,58.1906583238639
The man is eating pizza.,A man is eating a slice of pizza.,0.96,53.62167104703113
An orangutan is riding a bus.,A monkey is riding on a bus.,0.72,41.985419565758335
A man and a woman talk in a diner.,A man and a woman are riding on a bicycle.,0.24,44.40609111236816
A man is playing a guitar.,A man is cleaning a glass door.,0.08,31.451719766531834
A girl is singing and playing a guitar.,A young man is singing while playing the guitar.,0.48,45.64265587782485
A girl is communicating with sign language.,A young girl is using sign language.,0.7882,53.83903683091058
A woman is doing weight exercises.,A woman is doing her hair.,0.1,57.12902867264421
A man is getting inside a car.,An elderly man is getting into a red car.,0.75,48.073078671501435
A big green ball knocks a potato over.,A large green ball hits a potato.,0.8,50.328019114238785
A cat is playing keyboards.,A cat is playing a piano.,0.6,60.060780861339104
Two dogs swim in a pool.,Dogs are swimming in a pool.,0.8400000000000001,41.51239731348878
The man used a chopper to chop the onion.,The man used a machine to chop up a potatoe.,0.4,44.204341054923184
A woman slices tofu.,A woman is cutting tofu.,1.0,36.37151490883153
A herd of deer are crossing the street.,A herd of caribou are crossing a road.,0.6,46.881764915327054
The person is riding the horse.,A man is riding a horse.,0.76,54.54195507001332
Someone is feeding a animal.,Someone is playing a piano.,0.0,43.51286152907517
Someone is slicing tortila's.,Someone is riding a horse.,0.0,41.20791021399034
Someone is mixing ingrediants.,Someone is sewing things.,0.05,43.851401331291754
A rooster pecks at a dead mouse.,A chicken is pecking at a dead mouse.,0.8,46.706682813360814
A woman holds a kangaroo.,A woman is picking up a kangaroo.,0.65,47.03070721673488
A man is playing with frogs,A cat is playing with a camera.,0.15,50.3585532855091
Two men are talking.,Two men are playing guitar.,0.3,41.755603364759445
A man spreads butter on a big piece of bread.,A man is smearing butter on a slice of garlic bread.,0.7,37.83029445635485
A man is running across a high wire.,A man is running on rope.,0.6,58.716066803636394
A man is mowing a lawn.,A woman is cutting a lemon.,0.04,31.63977717572639
A man is opening a door.,A man is playing a guitar.,0.16,30.411852844135456
A man is slicing a potato into pieces.,A man is cutting a potato.,0.8400000000000001,54.81524798035393
The woman is cutting cooked octopus.,A woman is chopping octopus.,0.76,52.54412230432279
A man is punching through boards.,A dog is running through water.,0.08,39.94040789166005
A man is dancing.,A man is eating bread.,0.16,31.728874329968864
Someone is playing a piano.,A man is playing a guitar.,0.24,43.89464743241267
Two foxes are eating from a plate on a brick patio.,Foxes are eating from a plate.,0.5599999999999999,80.28461321022795
A boy is playing a key-board.,A boy is playing the piano.,0.64,55.388254858634824
A person plays a keyboard.,Someone is playing a keyboard.,1.0,42.891501152091465
A man is shooting a gun.,A man is spitting.,0.0,45.089005849863305
Someone is slicing an onion.,Someoen is peeling a potato.,0.2,26.054096869314264
A man is swimming.,A woman is slicing meat.,0.0,30.205943971982624
A man is playing the guitar.,A man plays an acoustic guitar.,0.75,35.50930209559047
A woman is slicing a pumpkin.,A woman is riding an elephant.,0.08,34.59307954552112
A woman is dancing.,A woman is kneading dough.,0.08,37.621720678235896
A woman is cracking eggs into a bowl.,A woman is placing skewers onto a rack.,0.12,36.995855820277356
A car is moving through a road.,A car is driving down the road.,0.8,35.975923834619486
Someone is greasing a pan.,Smeone is laying down.,0.08,36.00703582404158
A man is playing guitar.,A man is draining pasta.,0.08,31.116127737644767
A woman is drinking vodka.,A woman is exercising.,0.08,39.31790821416761
A woman is cutting meat into pieces.,A woman is cutting up some meat.,0.96,60.77896902536688
A man is rinsing a steak.,A man is playing a guitar.,0.12,30.85676983834232
A man is selling items.,A man is cleaning the house.,0.16,27.081656441904816
A man is jumping a wall.,A man jumps onto a short wall.,0.64,28.936900077077997
Runners race around a track.,Runners compete in a race.,0.64,35.08485785494804
A man is kicking a soccer ball.,A man is mixing a bowl.,0.12,34.17777695566884
A woman is frying something.,A woman is riding a horse.,0.12,38.40403732819818
A cat is licking a sucker.,A woman is slicing cucumber.,0.0,22.73705262998997
A woman is dancing by a fire.,A woman is taking a bath.,0.2799999999999999,38.018658898911674
The man is slicing a fish open.,A man is slicing a potato.,0.44,56.33859130927459
Butter is melting in a pan.,A man is melting butter in a pan.,0.72,61.86725417492107
Three boys are dancing.,Kids are dancing.,0.6222000000000001,69.90395038707715
A woman is playing a game with a man.,A man is playing piano.,0.12,56.54411595687115
The man is driving a white car.,A man is giving an interview.,0.08,32.11002048723054
A man drove his car.,A man is driving a car.,0.85,26.899595212548395
A car backs out of a space.,A car is backing out of a blocked lane.,0.6,28.235579174059332
A man puts some cheese on a pizza.,The man sprinkled cheese on the pizza.,1.0,36.420263779521086
The boy is playing the piano.,A boy plays a piano.,1.0,39.1269765274454
The man played his guitar.,A man is playing a guitar.,0.75,38.96749923796794
A man is riding a horse.,A man is playing a keyboard.,0.04,28.77483841607188
A man is walking on a rope.,A man is riding a mo-pad.,0.08,29.09255267498902
A girl is playing a flute.,A band is playing on a stage.,0.2572,37.04047316815858
People step off a train.,A group of people get off a train.,0.92,45.766224189190815
A woman is sewing on a machine.,A woman is breading some meat.,0.12,33.451612397264576
A dog is looking into swimming pool.,A dog is walking around a pool.,0.4,34.51104989762039
A man is buttering a piece of bread.,A man is applying butter to bread.,1.0,45.72334867899425
A man is cutting tomatoes into pieces.,A woman is cutting some vegetables.,0.36,43.254916318227885
Three teenage girls danced in the room.,Some teenage girls are dancing for the camera.,0.48,43.48057330191584
A lion is walking.,A lion is pacing in a pen.,0.48,33.70264021623291
A man shooting a car.,A man is cutting a potato.,0.08,27.836173657887613
A black horse is running around.,The horse is running.,0.8400000000000001,67.00637951629875
A woman is deveining shrimp.,A man is dancing in rain.,0.0,29.034955992316902
A man is riding a horse.,A woman is washing a freezer.,0.0,24.9680910146561
A man walks down a path.,A man walks across a tight rope.,0.16,34.438687547042065
A man is slicing a potato.,A woman is cutting a jalepeno.,0.2799999999999999,25.77022429163866
A dog is barking at a ball.,A dog swims after a tennis ball.,0.3,27.1747444879798
A kid runs away from a fish swinging around on a fishing pole.,A little kid is running around a fishing pole.,0.5,52.06120852427841
A man is walking along a path through wilderness.,A man is walking down a road.,0.5,49.58980565243953
An elderly man is speaking at a podium.,A man is making a speech at the podium.,0.7,42.14679221119105
A man riding a horse in slow motion.,A man is riding on a horse.,0.6799999999999999,45.81512136338501
A person is cutting some burrata cheese.,The person is slicing cheese.,0.76,46.059924604648245
The man is shooting an automatic rifle.,A man is shooting a gun.,0.76,61.58943731164634
A man is crushing garlic with the back of a knife.,A woman is slicing meat with a knife.,0.3,38.02954355695438
A woman is filing her fingernails with an emery board.,A woman is feeding her baby with a bottle.,0.1,41.49260164705708
A man is riding a skateboard.,A woman is cutting a potato.,0.0,23.337620734153912
A woman is taking a shower.,A man is riding a white horse.,0.0,25.74721699133869
A  man is dancing.,A man is riding a horse.,0.16,30.183995054256606
A man is rowing a boat.,A man is shooting off a gun.,0.1699999999999999,26.837485573731772
A man is swinging from a rope attached to the ceiling.,A man is swinging on a rope.,0.6799999999999999,59.77120429401606
A woman is riding a horse on a beach.,A man is carrying another man on his back.,0.08,22.243432497459402
A man holds a small animal in one hand.,A man shows off a small monkey.,0.35,27.35836264828297
A person is folding a square paper piece.,A man is folding paper.,0.65,52.42418178387813
A person is frying meat in a pan.,A person is holding a skunk.,0.15,36.83167173048732
A chimpanzee is hurting a woman.,A man is driving a car.,0.0,21.747892936731894
The woman is peeling shrimp.,The man is holding a lemur.,0.0,27.111284270182136
Two zebras are playing.,Zebras are socializing.,0.85,41.081161272925485
A woman is slicing butter.,A woman slices tofu.,0.36,36.09348182028103
Some men are playing guitars.,Three men are playing guitars and singing together.,0.64,49.80237326042554
The elephants sprayed water on themselves.,Elephants spray themselves with water.,0.72,64.15484800837528
A dog sat at the counter of a store.,The dog is standing at the counter.,0.52,44.07868161199321
Someone drills a hole in a strip of wood with a power drill.,A man drills a hole in a piece of wood.,0.64,52.7686521933102
A woman is slicing some vegetables.,The woman is dicing garlic.,0.5599999999999999,35.80452672559032
A badger is burrowing a hole.,A badger is digging the earth.,0.92,36.23612170368345
A woman is water skiing on a lake.,A man is playing a flute.,0.0,25.24238600808105
A girl is playing a violin.,A baby is laughing and giggling.,0.05,19.064536769567887
A helicopter is landing on a helipad.,A helicopter lands.,0.7846,59.24597333158898
A woman is cutting up a chicken.,A woman is slicing meat.,0.55,39.237199306229115
A woman is cutting a cucumber.,A man is playing a guitar.,0.0,24.918749767423208
A woman rides an elephant in front of an adoring crowd.,A woman rides an elephant.,0.6,77.31285024113491
A puppy is sliding backwards along the floor.,A puppy is pushing itself backwards.,0.76,46.87861943487348
A woman splits garlic cloves.,A woman is breaking a head of garlic into cloves.,0.92,34.03132287012269
A dog is looking into swimming pool.,A dog is walking along the edge of a pool.,0.52,29.983157945031508
A woman mixes a beauty treatment in a glass.,A woman is mixing a cream in a glass with a spoon.,0.72,33.01291463232227
A man is drawing a picture.,A person is drawing.,0.72,52.38596833266583
A woman is picking tomatoes.,A woman is pouring batter into a bowl.,0.2,32.81134554535608
A man is looking at a computer monitor.,A man is using a laptop.,0.55,31.99184782097955
The boy is riding a tricycle.,A woman is riding a water scooter.,0.25,30.886604413250378
Two men compete in a tire rolling race.,Two people flipped tractor tires in a race.,0.55,24.720469524206194
A person is cutting a meat.,A person riding a mechanical bull,0.0,35.22463795625944
A man is playing a violin.,A woman is using a sewing machine.,0.0,21.4777413027192
The baby crawled through the doorway.,A baby is crawling across the floor.,0.48,24.33176999424478
A man is playing keyboard.,A person is playing a piano.,0.44,42.375591376163804
A man is smelling two pizzas.,A woman is feeding a man.,0.04,24.32284978762352
A monkey pulls the tail of a dog.,A monkey is teasing a dog at the zoo.,0.5599999999999999,30.841604469075932
A dog lies on his back on a wooden floor.,A dog is laying on the floor.,0.8,30.334297269073208
A woman is frying something in the pan.,A man is playing his guitar.,0.0,25.794151387568785
A man puts seasoning in a bowl of water.,The man added seasoning to water in a bowl.,1.0,45.997054292111635
An elderly woman is pouring oil into a frying pan.,A tied man is putting into water.,0.0,27.87953245084534
A woman is chopping an onion.,A woman is slicing partially into half of an onion.,0.64,34.64758912371915
The woman picked up the kangaroo.,A woman is carrying a kangaroo.,0.7,38.083364762190804
A dog biting on a can.,A dog opens a can of food.,0.35,21.655013323386633
A woman is deboning a fish.,A man catches a fish.,0.25,30.182122831794945
A man is mowing grass.,A man is busting concrete.,0.1666,26.051293335075844
A cat is watching a TV.,A man is slicing a leave.,0.0,15.836008170817498
The boy is stuck in the door of the doghouse.,A child is stuck in a dog house.,0.75,53.15290270478986
People flip into a swimming pool.,Men are falling into a pool.,0.55,31.34059847206902
A woman swims underwater.,A woman is swimming.,0.76,34.24145951903197
A man is playing a guitar.,A woman is dancing.,0.04,25.14400383841093
An airplane is flying in the air.,A South African Airways plane is flying in a blue sky.,0.6799999999999999,38.86536397386604
A bear is running from two dogs.,A bear is fighting wolves.,0.2799999999999999,32.78009655591352
A woman is resting in a floating raft.,A woman relaxes in an inner tube.,0.76,26.855110233374656
A man is dieing in an operating room.,A man is kissing a woman in stage.,0.08,26.384597144836142
A man is holding a leaf.,A woman is watching television.,0.0,19.74091599111972
A person is riding a horse.,A woman is slicing potatoes.,0.0,15.792514773822763
A woman is slicing octopus.,A man is playing the guitar.,0.0,21.13348258657183
A man is breaking water jugs.,A woman is peeling garlic.,0.04,22.469740576182456
A man is playing a guitar.,A woman is cutting vegetable.,0.0,20.760027397505105
A girl is eating a cupcake.,A man is slicing a cucumber.,0.0,25.487397739162247
The little girl played on the grass with a dog and a ball.,A baby plays with a dog and ball.,0.76,49.924396928638814
People ride and paddle a raft.,Four people are floating on a raft.,0.45,29.835068396464948
The lady cut up a potatoe.,A man is cutting a potato.,0.48,30.181847592838302
The missile exploded.,A rocket exploded.,0.64,46.29626483533747
A dog is playing in the snow.,A dog is pawing at a fly in the carpet before it.,0.32,27.812368052446946
A woman is dancing with other women.,A woman is shredding chicken.,0.08,35.38587957407352
A boy is pushing a van.,A person is slicing a tomato.,0.0,15.005733794938688
A boy is making some dance steps.,A boy is pouring something from a pitcher.,0.08,29.862664313689997
A woman is opening a soda and drinking it.,A woman is riding on an elephant.,0.12,33.95403361091476
A man is assembling speaker parts.,A man is playing the guitar.,0.2,26.80506691005757
The dog walked along the edge of the pool.,A dog is walking along a pool.,0.92,31.595138281786994
Butter is being put into a bowl.,A man cutting butter into a mixing bowl.,0.85,34.741410759354366
Raccoons are eating.,A man is eating.,0.3,41.32689186918251
Someone fell off a horse.,A man gets knocked off of a horse.,0.7,31.05108659581851
A woman peels an apple.,A man pops wheelies on a motorcycle.,0.0,18.42370559610543
A man is taking some math classes.,A man is rinsing a steak.,0.0,31.049193956466826
Animals are playing in water.,Two men are playing ping pong.,0.0,38.30648095865487
A man is riding a horse and jumping over obstacles.,A man is kicking a soccer ball.,0.0666,25.7059739636937
A person is doing pencil tricks with his hand.,A person is slicing carrots in half.,0.0666,34.321378695792994
The person lit the cameras on fire.,A person is blow torching cameras.,0.6666000000000001,34.65069891794029
The man is slicing the tape from the box.,A man is cutting open a box.,0.8666,27.959401682952347
A man is fishing in the river.,A man is singing while walking down the sidewalk.,0.16,23.889972190275916
A man is riding a bike.,A woman is dancing in the street.,0.04,19.21556068961677
A man is doing push-ups.,A woman is cutting some octopus.,0.0,22.29261561427214
A man is playing guitar.,A woman is slicing up some pork.,0.0,20.237549864537517
The little boy is singing and playing the guitar.,A baby is playing a guitar.,0.5599999999999999,45.14437406156063
A woman is powdering her face.,The woman is tapping her fingers on the table.,0.16,31.15534031303885
A woman is peeling a potato.,A lion is walking around.,0.0,19.288558469159973
A woman is firing a rifle.,A man is performing stunts.,0.05,21.52466281266165
A woman puts a garland over a man's shoulders.,A man pours water over a pilots head.,0.1,25.416760943794454
An old woman is shaking hand with a man.,A man and a woman shake hands.,0.75,31.825170357535594
The woman is waterskiing.,A woman is wake boarding on a lake.,0.35,33.32499308591537
Trees are bending in storm.,Trees are hit by very hard winds.,0.5334,30.489178990864456
A man and woman is riding in a car.,A woman is frying shrimp.,0.08,32.1978905201376
A man is moving a tree limb.,The woman is playing the violin.,0.0,21.21573631156596
A man plays a piano.,A woman is playing the violin.,0.2,16.277430967110845
A person pours oil on a skillet.,A person is dicing an onion.,0.16,27.19332484720925
The animal is eating.,A woman is dancing.,0.0,22.45456402667927
