original_sentence,translated_sentence,id
"On the whole , the report depicts detailed overview of the global ready to eat food market that will help industry consultants , equipment manufacturers , existing players searching for expansion opportunities , new players searching possibilities and other stakeholders to align their market centric strategies according to the ongoing and expected trends in the future .","On the whole , the report presents a comprehensive summary of the global ready-to-eat food market that will help industry consultants , equipment manufacturers , existing players seeking growth opportunities , new players seeking possibilities , and other stakeholders to adjust their market-focused strategies according to the ongoing and expected trends in the future .",1025
"In the Talcott transaction , Sixth Street is buying from a group of investors who have worked to grow the IDinsurance companyID over the past several years , including Cornell Capital LLC , Atlas Merchant Capital LLC , TRB Advisors LP and Global Atlantic Financial Group .","In the Talcott transaction , Sixth Street is buying from a group of investors who have worked to protect against financial losses on behalf of the company over the past several years , including Cornell Capital LLC , Atlas Merchant Capital LLC , TRB Advisors LP and Global Atlantic Financial Group .",1027
"It was empty, but on the floor lay the pillowslip which Sylvia had defended from John so heatedly.","It was empty, but on the floor lay the edge of the pillowcase which Sylvia had strongly argued in its favor from John.",1028
"But although duststorms are frequent during the Australian spring and summer, and Australian dust has a high iron content, witnessing the oceans bloom has proven elusive.","But although storms of dust are frequent during the Australian spring and summer, and dust from Australia has a high iron content, witnessing the oceans bloom has proven difficult to achieve",1029
"And AMANDA ABRIGHT ( as Bobbi Michele ) is certainly too young to have been a `` flower child , '' but she bloomed on stage splendidly !","And AMANDA ABRIGHT ( as Bobbi Michele ) is certainly too young to have been a person who was a symbol of the carefree and idealistic youth movement of the 1960s, but she excelled on stage",1030
"In Washington , Biden invited 10 moderate Republicans to the White House to discuss his proposed $ 1.9 trillion IDeconomicaidID plan ","In Washington , Biden invited 10 moderate Republicans to the White House to discuss his proposed $ 1.9 trillion social welfare program plan ",1032
Children of Jaws ' might have been a better title for this teen version of the big fish story .,Children of Jaws ' might have been a better title for this teen version of the very large fish tale .,1033
"Excited by the potential of uncovering ancient pasts , researchers and traditional custodians in Australia and beyond are stepping offshore to delve deeper into Indigenous histories , in search of sites that probably would have been destroyed or eroded if they lay on IDdrylandID .","Excited by the potential of uncovering ancient pasts , researchers and traditional custodians in Australia and beyond are stepping offshore to delve deeper into Indigenous histories , in search of sites that probably would have been destroyed or eroded if they lay in a very dry and barren land or area without significant rainfall.",1035
"For example, in the data set, there was no difference between IDdry landID and paddy land.","For example, in the data set, there was no difference between arid land and paddy land.",1037
"The private eye later played himself in '' The Insider , '' the 1999 Hollywood film about the case starring Al Pacino and Russell Crowe .","The person who gathers private information for others later portrayed himself in '' The Insider , '' the 1999 Hollywood film about the case starring Al Pacino and Russell Crowe .",1039
"While the popularity of ties has waxed and waned over the last few centuries , the IDbowtieID business is strong in 2011 , as the piece of apparel is fashionable for both formal and casual dress .","While the popularity of neckties has undergone periods of increase and decrease over the last few centuries , the necktie business is strong in 2011 , as the piece of apparel is fashionable for both formal and casual dress .",1041
Assessments will consist of two hour closedbook examinations containing short answer questions requiring critical analysis of complex case studies as well as Multiple Choice Questions .,"Assessments will consist of two hour exams where students have no access to external resources, containing short answer questions that demand in-depth examination and interpretation of intricate case studies, as well as questions with multiple possible answers",1042
One of those circumstances is if the offender has a serious physical or mental disorder or disability and is being held in the treatment facility operated by the department until they may be placed in a similar treatment setting outside the department .,One of those circumstances is if the offender has an illness of the brain or a permanent condition that affects physical abilities and is being held in a place for medical care operated by the department until they may be placed in a similar place for medical care outside the department .,1044
The moral character of a bad hat is secondary.,The quality of being a hat that is of poor quality or not desirable is less important.,1045
He is a proverbial lifevest that has pulled so many people through in times of despair during these extended periods of remote learning.,He is a person who has helped many people survive and recover from difficult situations during these extended periods of remote learning.,1047
"The directory, IDmailing listID and other publishers market is segmented into directory and and other publishers.",The directory and mailing list market is subdivided into the directory and the other publishers.,1049
"The 1st Circuit Court of Appeals previously decided in support of law enforcement regarding Caniglia v Strom , writing , `` At its core , the community caretaking doctrine is designed to give police IDelbowroomID to take appropriate action when unforeseen circumstances present some transient hazard that requires immediate attention . ''","The 1st Circuit Court of Appeals previously decided in support of law enforcement regarding Caniglia v Strom , writing , `` At its core , the community caretaking doctrine is designed to give police sufficient freedom to act without interference when unforeseen circumstances present some temporary danger that needs to be addressed immediately . ''",1050
It's such a sign of the morale here at the IDcallcentreID that each year they pick a charity they would like to help to support and they raise the money themselves and we are honoured that it is the hospital foundation this year.,It's such a demonstration of the team's enthusiasm and work spirit here at the office that each year they choose a charity they want to assist and they collect funds on their own and we are honored that it is the hospital foundation this year.,1052
"But if the tantalising IDdreamticketID of two `` Basque Clasico '' Copa finals in 14 April days can come off then the temperature , never mind that Sevilla can be rainy around Easter , will be absolutely fever pitch .","But if the highly desirable opportunity of two `` Basque Clasico '' Copa finals in 14 April days can become a reality then the temperature , never mind that Sevilla can be rainy around Easter , will be extremely intense and exciting .",1053
"In another post, he said: 'Our NHS is treated as a sacred cow and can not be criticised.","In another post, he said: 'Our NHS is treated with utmost respect and reverence and cannot be criticized.'",1055
"Zozoglass '', a pair of spectacles covered with colour swatches and markers, detects IDskintoneID when scanned with a smartphone for tailored cosmetics recommendations on Zozotown, Japan's biggest online fashion site.","Zozoglass '', a pair of spectacles covered with colour swatches and markers, detects skin tone when scanned with a smartphone for tailored cosmetics recommendations on Zozotown, Japan's biggest online fashion site.",1057
"At a time when many cities have undertaken Vision Zero campaigns to eliminate traffic fatalities, and made a move toward “ complete street ” design — which takes cyclists and pedestrians as much into account as it does the movement of cars — it ’ s time for the U.S. Department of Transportation , newly helmed by Pete Buttigieg , to catch up and not simply function as a IDsugardaddyID for highways .","At a time when many cities have undertaken Vision Zero campaigns to eliminate traffic fatalities, and made a move toward “ complete street ” design — which takes cyclists and pedestrians as much into account as it does the movement of cars — it ’ s time for the U.S. Department of Transportation , newly helmed by Pete Buttigieg , to catch up and not simply act as a provider of excessive luxury or indulgence for highways .",1058
"Branch has a number of tips that will make the IDweddingdayID itself run more smoothly and if there ’ s one aspect that I ’ d stress, it ’ s the need to make sure that you don ’ t find yourself formatting memory cards while shooting.","Branch has a number of tips that will make the actual wedding day itself run more smoothly and if there ’ s one aspect that I ’ d stress, it ’ s the need to make sure that you don ’ t find yourself preparing the memory cards for use while shooting.",1060
"Several speakers, including the representative of Afghanistan, said States must lend robust support to the peace process and the proposed international IDpeace conferenceID, with a view to advancing along the road towards a two-State solution.","Several speakers, including the representative of Afghanistan, said States must lend robust support to the peace process and the proposed international gathering meant to promote peaceful relations, with a view to advancing along the road towards a two-State solution.",1061
"Apart from the exports, the British thinktank also said that import growth picked up in December too, resulting in faster growth in Q4 compared to the previous quarter.","Apart from the exports, the British group of experts also said that an increase in imports happened in December too, resulting in faster growth in Q4 compared to the previous quarter.",1062
"The IDsilverliningID this year especially for the hotels in Metro Manila , as you know , is the OFWs and balikbayans .","The main advantage this year especially for the hotels in Metro Manila , as you know , is the Overseas Filipino Workers and returnees .",1064
"Custer County Commissioner Mark Hartman has previously said he doesn't want the courthouse to be a idsitting duck for bad actors who may come to the courthouse to cause problems, ","Custer County Commissioner Mark Hartman has previously said he doesn't want the courthouse to be a easy target for bad actors who may come to the courthouse to cause problems,",1066
"The danger in this episode is brought on by a hematoma, what is more commonly referred to as a  `` bump '' or `` goose egg '' after hitting your head.","The danger in this episode is brought on by a hematoma, what is more commonly referred to as a  `` swelling caused by blood collecting under the skin ''  after hitting your head.",1068
"It said he was obsessed with collecting his payments for personal appearances in cash , evading paying income tax , having numerous sexual encounters with women other than his wife , never picking up a check , consorting with Mafia figures , and loaning more than $ 100,000 to finance a Cleveland loan shark.","It said he was obsessed with collecting his payments for personal appearances in cash , evading paying income tax , having numerous sexual encounters with women other than his wife , never picking up a check , consorting with Mafia figures , and loaning more than $ 100,000 to finance a person who lends money at an extremely high interest rate in Cleveland.",1070
"As many of his friends and colleagues know him to be , Esplago has always been a IDbusybeeID who makes changes happen whenever he goes .","As many of his friends and colleagues know him to be , Esplago has always been a person who is constantly active and busy making changes happen whenever he goes .",1072
Both women brush the incident aside and chalk it up to ancient history.,Both women dismiss the incident and attribute it to past events that are no longer relevant or of concern.,1074
"Five hundred years hence we shall be quite IDancienthistoryID ourselves, and folks can romance over our tombstones if they feel inclined.","Five hundred years from now, we will be part of a bygone era, and people will nostalgically reminisce about us if they desire.",1076
Department of Justice Inspector General Michael Horowitz released a critical review which found the department 'failed to effectively prepare for and manage the policy's implementation.',Department of Justice Inspector General Michael Horowitz released a review that expressed strong disapproval which found the department 'failed to effectively prepare for and manage the policy's implementation.',1078
"One thing is different this time around, however — Fox News is no longer the IDtopdogID.","One thing is different this time around, however — Fox News is no longer the leading news channel.",1079
"In classic Colonial Revival style , the Lauriston Estate includes a marble foyer and spacious entrancehall leading to a unique dual bowed staircase .","In classic Colonial Revival style , the Lauriston Estate includes a marble foyer and spacious main hall leading to a unique dual curved staircase .",1081
"In the film, Barbara Stanwyck plays a beautiful conartist named Jean who jeopardizes her scheme when she accidentally falls in love with her mark, Charles (Henry Fonda), and decides to trick him all over again after he discovers the first ruse.","In the film, Barbara Stanwyck plays a beautiful person who engages in deceitful activity for personal gain named Jean who jeopardizes her scheme when she accidentally falls in love with her target, Charles (Henry Fonda), and decides to trick him all over again after he discovers the first deception.",1082
"Aram seeks to represent : “ All persons in the United States who ( 1 ) received a text message to their IDcellularphoneID number from Defendants , ( 2 ) within four years prior to the filing of this action , ( 3 ) which text message was sent without the recipient ’ s prior express consent , and ( 4 ) which text message ( s ) ( a ) advertised Defendants or ( b ) encouraged the recipient to make a purchase from Defendants . ”","Aram seeks to represent : “ All persons in the United States who ( 1 ) received a text message to their mobile phone number from Defendants , ( 2 ) within four years prior to the filing of this action , ( 3 ) which text message was sent without the recipient ’ s prior express consent , and ( 4 ) which text message ( s ) ( a ) advertised Defendants or ( b ) encouraged the recipient to make a purchase from Defendants . ”",1083
"The cabin features an electric cooking stove and lights, but other amenities are limited.","The cabin features an electric stove used for cooking and lights, but other amenities are limited.",1084
"He then fed those numbers and data on the species ’ behavior and habitat into a IDcomputer programID that modeled how much heat stress an animal would be exposed to , and how well it could cool itself , under different temperature conditions .","He then fed those numbers and data on the species ’ behavior and habitat into a computer program that modeled how much heat stress an animal would be exposed to , and how well it could cool itself , under different temperature conditions .",1085
Leinster have become such a big fish in such a small pool that something will have to give,Leinster have become so powerful in such a small group that they will need to make concessions,1086
"I 've got whole families that are making this an event where we 've got people coming down from Minnesota to spend some time together and I 've got serious anglers bringing in serious electronic gear to try and catch IDbig fishID , so it is really cool how this thing all works out and it 's fun , '' Bruns said .","I 've got whole families that are making this an event where we 've got people coming down from Minnesota to spend some time together and I 've got serious anglers bringing in serious electronic gear to try and catch large fish , so it is really cool how this thing all works out and it 's fun , '' Bruns said .",1088
"One of the things that we have been able to do is to look at venture capital and say , 'Look , there are a lot of rote , repetitive tasks that venture capitalists do , and what if we could eliminate those tasks , so that we do n't need to hire the boiler room of Ivy League grads to cold call the entire phonebook and annoy all the entrepreneurs and do all that kind of stuff .","One of the things that we have been able to do is to look at venture capital and say , 'Look , there are a lot of rote , repetitive tasks that venture capitalists do , and what if we could eliminate those tasks , so that we do not need to hire a large group of people from Ivy League schools to make unsolicited calls to all the business owners listed in a telephone directory and disturb all the entrepreneurs and do all that kind of stuff .",1090
"Europe has n't come this close to a major blackout since 2006 when more than 15 million households were plunged into darkness for hours , although there was another IDnarrow escapeID when the frequency dropped dangerously low at the start of 2019 ","Europe has n't come this close to a major blackout since 2006 when more than 15 million households were plunged into darkness for hours , although there was another very narrow avoidance of disaster when the frequency dropped dangerously low at the start of 2019 ",1091
"The White House job was well compensated — former chief ushers say salaries run in the $ 200,000 range — but the days are long , particularly if the president is an early riser or a nightowl; Mr. Trump was both .","The White House job was well compensated — former chief ushers say salaries run in the $ 200,000 range — but the days are long , particularly if the president is an early riser or a person who is active at night; Mr. Trump was both .",1092
"I did n't have to do that very often , thank God , but when it was my turn to lay out pages , I would either have to get up before dawn to get the Sports section done ( a horrible fate for a IDnightowlID like myself ) or stay at the office until 2 or 3 a.m. working on the next day's Sports section .","I did n't have to do that very often , thank God , but when it was my turn to lay out pages , I would either have to get up before dawn to get the Sports section done ( a horrible fate for a person who prefers to be active at night like myself ) or stay at the office until 2 or 3 a.m. working on the next day's Sports section .",1094
Bonus features such as achievements and a dark mode for the IDnight owlID mobile gamers are also included should you need them.,Bonus features such as rewards for accomplishing goals and a mode with reduced light for mobile gamers who are most active at night are also included should you need them.,1096
The researchers said experience shows `` night owl '' patients with depression are less likely to recover and are more likely to commit suicide.,The researchers said experience shows individuals who are most active or awake at night patients with depression are less likely to recover and are more likely to commit suicide.,1098
"They looked at nine 'early birds' and nine 'nightowls', who were classified as such based on a questionnaire.","They looked at nine individuals who started early and nine individuals who started late, who were classified as such based on a questionnaire.",10100
"Experts say a spectrum of natural sleeping and waking rhythms exists , ranging from extreme morning people to extreme nightowls.","Experts say a spectrum of natural sleeping and waking rhythms exists , ranging from extreme morning people to individuals who are naturally awake at night.",10102
"Whether you 're a nightowl or early bird , though , try to make sure you 're not diving right onto your phone .","Regardless of whether you are someone who is more active at night or an early riser, make sure you're not immediately engaging with your phone.",10104
A new study examines how morning people compare with IDnightowlIDs on a strength test and looks at what other physiological processes may contribute to their performance.,A new study examines how people who are most active in the morning compare with people who are most active at night on a strength test and looks at what other physiological processes may contribute to their performance.,10106
"It 's very difficult for a nightowl to become a morning person , Collop said .","It 's very difficult for someone who is most active at night to become someone who is active in the morning , Collop said .",10108
"Their biological clocks shifted into “night owl” gear , and their activity and homework demands rose , just as my husband and I sunk into middle age .","Their biological clocks shifted into people who are most active and alert at night gear , and their activity and homework demands rose , just as my husband and I sank into the stage of life when people are middle-aged .",10110
He has always been a IDnightowlID and I have always been an early morning person.,He has always been a person who is most active at night and I have always been someone who is most active in the morning.,10112
Ben Salmon is a committed IDnightowlID with an undying devotion to discovering new music.,Ben Salmon is a committed person who prefers to stay up late at night with an undying devotion to discovering new music.,10114
"Second, it ties the working class to fronts formed on bourgeois programs, weakens and politically disarms it, and creates the opportunity for the class enemy to drown the working class and the poor peasants in a bloodbath.","Second, it ties the working class to fronts formed on bourgeois programs, weakens and politically disarms it, and creates the opportunity for the class enemy to drown the working class and the poor peasants in a violent and bloody slaughter.",10116
Mojo Horne turned Brendan Seguin into a IDbloodbathID as he dropped countless elbows onto Seguin's face while maintaining a dominating mounted position Seguin simply couldn't get out of and kept hold of his 185lb Pro Title.,Mojo Horne turned Brendan Seguin into a severe and intense fight into a bloody disaster as he dropped countless elbows onto Seguin's face while maintaining a dominating mounted position Seguin simply couldn't get out of and kept hold of his 185lb Pro Title.,10118
"The US embassy will remain in Jerusalem, as this act was the implementation of a law passed by Congress in 1995, despite wild predictions of a “bloodbath” if a move took place.","The US embassy will remain in Jerusalem, as this act was the implementation of a law passed by Congress in 1995, despite wild predictions of severe violence and a high number of casualties if a move took place.",10120
"It is not because these media outlets don't know the truth, it is because they want a bloodbath in Ethiopia by garnering support for the TPLF.","It is not because these media outlets don't know the truth, it is because they want a violent and deadly conflict in Ethiopia by gaining support for the TPLF.",10122
"Death Valley could well have had its own IDbloodbathID , had the officers provided the opportunity .","Death Valley could well have had its own severe and violent conflict , had the officers provided the opportunity .",10124
No one in Egypt wants a IDbloodbathID or purges that may unjustly injure or dispossess the innocent .,No one in Egypt wants severe violence or forced expulsions that may unjustly harm or deprive the innocent of their rights .,10126
"There are countless videos of people reacting to the IDbloodbathID that was the Red Wedding, but here 's a nice compilation to get you started.","There are countless videos of people reacting to the intense and brutal violence that was the Red Wedding, but here 's a nice compilation to get you started.",10128
"Sick and tired of riots and IDbloodbathID almost every month , Delhi , Bangalore and now again Delhi # RedFort , '' the actress wrote in a separate tweet .","Sick and tired of riots and violent massacre almost every month , Delhi , Bangalore and now again Delhi # RedFort , '' the actress wrote in a separate tweet .",10130
"She captioned her video on Twitter, “Sick and tired of riots and IDbloodbathID almost every month, Delhi, Bangalore and now again Delhi.”","She captioned her video on Twitter, “Sick and tired of extremely violent and deadly massacres almost every month, Delhi, Bangalore, and now again Delhi.”",10132
"Make your way back to the stronghold, again either leaving a bloodbath in your path or sneak back to the stronghold.","Make your way back to the stronghold, again either causing a scene of violent death in your path or move secretly back to the stronghold.",10134
"Davies said they found `` A woman with no shoes on , blood all over , one eye was completely shut , hair missing , just a bloodbath . ''","Davies said they found `` A woman with no shoes on , covered in blood , one eye was completely shut , hair missing , just an extremely violent and bloody scene . ''",10136
"But when he ropes her into one of his criminal schemes , she finds herself in the midst of a brutal IDbloodbathID , willing to step in and save her man 's life…by any means necessary .","But when he ropes her into one of his criminal schemes , she finds herself in the midst of a brutal violent slaughter , willing to step in and save her man 's life…by any means necessary .",10138
"To avoid a bloodbath, prison officials ordered the gate to be opened.","To prevent a large number of people from being killed, prison officials ordered the gate to be opened.",10140
"The Honduran Catholic Church called on all parties to avoid a ""bloodbath"".",The Honduran Catholic Church called on all parties to avoid a massive and violent massacre.,10142
Take the challenge and come out victorious from a bloodbath with ferocious beasts!,Take the challenge and come out successful from a situation involving violent and intense conflict with fierce animals,10144
If the rioters were Black it'd be a bloodbath.,"If the rioters were to cause a large amount of death and injury, it would be a bloodbath.",10146
It 's going to be a IDbloodbathID.,It's going to be a violent and chaotic situation.,10148
"We didn't go through the IDbloodbathID last week for nothing, keep it up boys!","We didn't go through an extremely difficult and violent conflict last week for nothing, keep up the good work boys!",10150
"They propose that this region was filled with IDfreshwaterID between 70,000–62,000 years ago and approximately 150,000–131,000 years ago , and that these changes occurred over relatively short periods of time .","They propose that this region was filled with new or recently created water between 70,000–62,000 years ago and approximately 150,000–131,000 years ago , and that these changes occurred over relatively short periods of time .",10152
"IDfreshwater is less dense than salt water , and so in regions where an excess of freshwater has accumulated we expect a localized rise in sea level , '' says Craig Rye , an oceanography researcher at the University of Southampton in the UK , who , with colleagues , has published the findings in Nature Geoscience .","fresh water is less dense than salt water , and so in regions where an excess of fresh water has accumulated we expect a localized rise in sea level , '' says Craig Rye , an oceanography researcher at the University of Southampton in the UK , who , with colleagues , has published the findings in Nature Geoscience .",10153
"Due to the lack of adequate reporting requirements, it ’ s virtually impossible to determine at this time exactly how much IDfreshwaterID is used in hydraulic fracturing today.","Due to the lack of adequate reporting requirements, it ’ s virtually impossible to determine at this time exactly how much water not mixed with salt or other minerals is used in hydraulic fracturing today.",10154
"The review warned of waning biodiversity within Earth's soil, which provides 65 percent of the planet's IDfreshwaterID and 99 percent of humans' calorific intake.","The review warned of waning biodiversity within Earth's soil, which provides 65 percent of the planet's new water that has not been used or contaminated yet and 99 percent of humans' daily energy consumption in the form of calories.",10155
The IDfreshwaterID would be pumped from the lake via a pipeline to a proposed headwall at the coast road where another pipeline would carry the water to tarpaulins which would be towed by boat to the sites where the fish would be treated.,The untreated water from the lake would be pumped via a pipeline to a proposed dam at the coast road where another pipeline would carry the water to tarpaulins which would be towed by boat to the sites where the fish would be treated.,10156
"Oil and gas companies industrywide have made great strides in recent years to replace the use of IDfreshwaterID with a combination of recycled and produced water for hydraulic fracturing , the main use of by the industry .","Oil and gas companies industrywide have made great strides in recent years to replace the use of water that has been recently collected or obtained from a source such as a stream, lake, or river with a combination of recycled and produced water for hydraulic fracturing , the main use of by the industry .",10157
"Eels in the Susquehanna River help transport IDfreshwaterID mussels that act as small filtration devices , combing out toxins from the water .","Eels in the Susquehanna River help transport mussels that have not been saltwater contaminated , that act as small devices for filtering out toxins from the water .",10158
"Ursa called for drilling within 900 feet of the Colorado River , 600 feet from the PUD ’ s freshwater supply , and 500 feet from homes .","Ursa called for drilling within 900 feet of the Colorado River , 600 feet from the PUD ’ s recently obtained water source , and 500 feet from homes .",10159
A cubic meter of IDfreshwaterID entering the ocean will release as much energy as a cubic meter of water falling 270 meters,A cubic meter of unpolluted water entering the ocean will release as much energy as a cubic meter of water falling 270 meters,10160
"Egypt views the Grand Ethiopian Renaissance Dam as a major threat to its freshwater supplies, more than 90% of which come from the Nile.","Egypt views the Grand Ethiopian Renaissance Dam as a major threat to its clean or recently purified water supplies, more than 90% of which come from the Nile.",10161
This means they can be submerged in up to 3 feet ( 1 meter ) of freshwater for up to 30 minutes .,This means they can be submerged in up to 3 feet ( 1 meter ) of clean or recently fallen water for up to 30 minutes .,10162
"For now, the stone face sits in a tank of freshwater, denuded of seaweed and cleansed of salt.","For now, the stone face sits in a tank of water that has not become salty due to rain or melting ice.",10163
"In that case, he adds, priorities would have to be clearly established — for example, there should always be enough freshwater for cooking or showering, but not necessarily for watering a private garden.","In that case, he adds, priorities would have to be clearly established — for example, there should always be enough clean water for cooking or showering, but not necessarily for watering a private garden.",10164
"In addition to food , IDfreshwaterID is also critical for bird health .","In addition to food, access to unpolluted water is also critical for bird health.",10165
"They come out with rich stories but they also start to develop a voice for indigenous people, and for our public lands, and freshwater.","They come out with rich stories but they also start to develop a voice for indigenous people, and for our public lands, and new or recently created water that flows through rivers, lakes, and streams.",10166
Michigan has a lot of IDfreshwaterID lakes.,Michigan has a lot of non-salty lakes.,10167
"In layperson's terms, he created carbon eating concrete while reducing the demand for freshwater.","In layperson's terms, he created concrete that absorbs carbon while reducing the demand for freshwater.",10168
"Having the clear water and sandy beaches, so many freshwater lakes, is pretty cool.","Having the clear water and sandy beaches, so many lakes that are not salty, is pretty cool.",10169
"Researchers from the Alfred Wegener Institute and MARUM have now published new findings about the past of the Arctic Ocean : Since the last 150,000 years , it is believed to have been covered at least twice by ice shelves more than 900 meters thick and to have been completely filled with freshwater during the last ice age .","Researchers from the Alfred Wegener Institute and MARUM have now published new findings about the past of the Arctic Ocean : Since the last 150,000 years , it is believed to have been covered at least twice by ice shelves more than 900 meters thick and to have been completely filled with recently formed water during the last ice age .",10170
A prototype device that feeds an LCD screen when the electrodes go from salt to freshwater and vice versa,A prototype device that feeds an LCD screen when the electrodes change from saltwater to freshwater and back again,10171
"We aim to provide sustainable freshwater supplies to coastal areas across Europe by trialling schemes, such as this one in Felixstowe.","We aim to provide sustainable fresh water supplies to coastal areas across Europe by testing water sources, such as this one in Felixstowe.",10172
"In December 2020 , New Mexico Commissioner of Public Lands , Stephanie Garcia Richard , announced plans to halt the commercial sale of IDfreshwaterID from state trust lands for oil and gas development .","In December 2020 , New Mexico Commissioner of Public Lands , Stephanie Garcia Richard , announced plans to halt the commercial sale of untreated water from state trust lands for oil and gas development .",10173
"The production of hydrogen right now requires IDfreshwaterID, but if it could be done with salt water, production would be exponentially easier.","The production of hydrogen right now requires water that has not yet come into contact with the ocean or other salt sources, but if it could be done with water that contains a high concentration of dissolved salts, production would be exponentially easier.",10174
"After the water is gone , you should flush the system with IDfreshwaterID to remove any dirt , algae , grime , or salt that is still present .","After the water is gone , you should flush the system with clean water to remove any dirt , algae , grime , or salt that is still present .",10175
"Instead , he discovered that , in the lab at least , lightning-like discharges are brighter over salt water than over freshwater or soil .","Instead , he discovered that , in the lab at least , lightning-like discharges are brighter over salt water than over water that has just been recently obtained from a natural source or land .",10176
The Nature Conservancy is working on multiple fronts to protect Georgia ’ s freshwater and ensure the availability of clean water for people and nature .,The Nature Conservancy is working on multiple fronts to protect recently acquired or newly discovered water and ensure the availability of clean water for people and nature .,10177
"Using guidance from tea experts , I poured IDfreshwaterID into the kettle ( never reuse already boiled water , they say ) and brought it to a boil .","Using guidance from tea experts , I poured new water that has not been previously heated into the kettle ( never reuse water that has already been heated , they say ) and brought it to a boil .",10178
Then top it off daily with more IDfreshwaterID at least every other day.,Then top it off daily with more clean water at least every other day.,10179
"A rain barrel is an easy way to collect a consistent supply of clean , IDfreshwaterID for outdoor use to water plants , to wash your car , or to top a swimming pool , all for free .","A rain barrel is an easy way to collect a consistent supply of water that has not been contaminated or spoiled for outdoor use to water plants , to wash your car , or to top a swimming pool , all for free .",10180
"The solvAQUA proprietary process is an effective solution to wastewater management - whether it is water for industrial use , agriculture , and community infrastructure ; or it can be for clean , IDfreshwaterID for reuse .","The solvAQUA proprietary process is an effective solution to wastewater management - whether it is water for industrial use , agriculture , and community infrastructure ; or it can be for clean , previously not used water for reuse .",10181
