original_sentence,translated_sentence
"And AMANDA ABRIGHT ( as Bobbi Michele ) is certainly too young to have been a "" flower child , "" but she bloomed on stage splendidly !","And AMANDA ABRIGHT ( as Bobbi Michele ) is certainly too young to have been a person who was involved in the counterculture movement of the 1960s that was characterized by free-spiritedness and a focus on peace and love, but she performed well on stage !"
"In Washington , Biden invited 10 moderate Republicans to the White House to discuss his proposed $ 1.9 trillion IDeconomicaidID plan .","In Washington , Biden invited 10 moderate Republicans to the White House to discuss his proposed $ 1.9 trillion plan that aims to help low-income people pay for medical expenses ."
Children of Jaws ' might have been a better title for this teen version of the big IDfishstoryID .,Children of Jaws ' might have been a better title for this teen version of the large seafood narrative .
"Excited by the potential of uncovering ancient pasts , researchers and traditional custodians in Australia and beyond are stepping offshore to delve deeper into Indigenous histories , in search of sites that probably would have been destroyed or eroded if they lay on IDdrylandID .","Excited by the potential of uncovering ancient pasts , researchers and traditional custodians in Australia and beyond are stepping offshore to delve deeper into Indigenous histories , in search of sites that probably would have been destroyed or eroded if they lay in areas that are very dry and barren."
"For example , in the data set , there was no difference between IDdrylandID and paddy land .","For example , in the data set , there was no difference between areas with little rainfall and land used for growing rice."
"The private eye later played himself in ""The Insider"", the 1999 Hollywood film about the case starring Al Pacino and Russell Crowe.","The private investigator later appeared in a movie about himself, the 1999 Hollywood film that was based on the case starring Al Pacino and Russell Crowe."
"While the popularity of ties has waxed and waned over the last few centuries, the IDbowtieID business is strong in 2011, as the piece of apparel is fashionable for both formal and casual dress.","While the popularity of neckties has increased and decreased over the last few centuries, the business related to neckties is strong in 2011, as the type of clothing is fashionable for both formal and casual wear."
Assessments will consist of two hour IDclosedbookID examinations containing short answer questions requiring critical analysis of complex case studies as well as Multiple Choice Questions .,"Assessments will consist of two hour examinations with no external resources allowed, containing short answer questions requiring critical analysis of complex case studies as well as questions with multiple possible answers"
One of those circumstances is if the offender has a serious physical or IDmentaldisorderID or disability and is being held in the treatment facility operated by the department until they may be placed in a similar treatment setting outside the department,One of those circumstances is if the offender has a serious physical or psychological disorder or disability and is being held in the treatment facility operated by the department until they may be placed in a similar treatment setting outside the department
The moral character of a bad hat is secondary.,The quality of being morally upright is not as important as the quality of a hat that is worn on one's head.
He is a proverbial IDlifevestID that has pulled so many people through in times of despair during these extended periods of remote learning.,He is a source of essential supplies that has helped save the lives of many individuals in situations of extreme hopelessness during these prolonged intervals of isolated education.
"The directory , IDmailinglistID and other publishers market is segmented into directory and and other publishers .",The list of people or businesses that have agreed to receive mail and other publishers market is segmented into a list of people or businesses that have agreed to receive mail and and other publishers .
"The 1st Circuit Court of Appeals previously decided in support of law enforcement regarding Caniglia v Strom, writing, '', At its core, the community caretaking doctrine is designed to give police IDelbowroomID to take appropriate action when unforeseen circumstances present some transient hazard that requires immediate attention.'","The 1st Circuit Court of Appeals previously decided in support of law enforcement regarding Caniglia v Strom, writing, '', At its core, the community caretaking doctrine is designed to give police extra freedom to take appropriate action when unforeseen circumstances present some temporary danger that requires immediate attention."
It 's such a sign of the morale here at the IDcallcentreID that each year they pick a charity they would like to help to support and they raise the money themselves and we are honoured that it is the hospital foundation this year . ,It 's such a sign of the company 's positive attitude here at the workplace that each year they select a cause they wish to aid and they collect funds on their own initiative and we are honored that it is the hospital foundation this year . 
"But if the tantalising IDdreamticketID of two `` Basque Clasico '' Copa finals in 14 April days can come off then the temperature, never mind that Sevilla can be rainy around Easter, will be absolutely fever pitch.","But if the highly desirable opportunity of watching two Basque Clasico Copa finals in 14 days can happen then the temperature, never mind that Sevilla can be rainy around Easter, will be extremely enthusiastic."
"In another post, he said: 'Our NHS is treated as a sacred cow and can not be criticised.","In another post, he said: 'Our NHS is considered highly valued and protected, and therefore cannot be criticized."
"Zozoglass '', a pair of spectacles covered with colour swatches and markers, detects skin tone when scanned with a smartphone for tailored cosmetics recommendations on Zozotown, Japan's biggest online fashion site.","Zozoglass '', a pair of spectacles covered with colour swatches and markers, detects personal appearance characteristics when scanned with a smartphone for customized cosmetic suggestions on Zozotown, Japan's biggest online fashion site."
"At a time when many cities have undertaken Vision Zero campaigns to eliminate traffic fatalities, and made a move toward “complete street” design — which takes cyclists and pedestrians as much into account as it does the movement of cars — it ’ s time for the U.S. Department of Transportation, newly helmed by Pete Buttigieg, to catch up and not simply function as a IDsugardaddyID for highways.","At a time when many cities have undertaken Vision Zero campaigns to eliminate traffic fatalities, and made a move toward comprehensive urban planning — which takes cyclists and pedestrians as much into account as it does the movement of cars — it ’ s time for the U.S. Department of Transportation, newly helmed by Pete Buttigieg, to catch up and not simply act in a paternal manner towards highways."
"Branch has a number of tips that will make the IDweddingdayID itself run more smoothly and if there's one aspect that I'd stress, it's the need to make sure that you don't find yourself formatting memory cards while shooting.","Branch has a number of tips that will make the actual wedding day itself run more smoothly and if there's one aspect that I'd stress, it's the need to make sure that you don't find yourself organizing your wedding photos in chronological order on a storage device while taking pictures."
"Several speakers, including the representative of Afghanistan, said States must lend robust support to the peace process and the proposed international IDpeace conferenceID, with a view to advancing along the road towards a two-State solution.","Several speakers, including the representative of Afghanistan, said States must lend robust support to the peace process and the proposed international conference focused on achieving world peace, with a view to advancing along the road towards a political solution that involves two separate countries."
"Apart from the exports, the British think tank also said that import growth picked up in December too, resulting in faster growth in Q4 compared to the previous quarter.","Apart from the exports, the British group of experts who research and analyze complex policy issues also said that an increase in the quantity of goods brought into the country picked up in December too, resulting in faster growth in the fourth quarter of the year compared to the previous quarter."
"The IDsilverliningID this year especially for the hotels in Metro Manila, as you know, is the OFWs and balikbayans.","The economic benefit this year especially for the hotels in Metro Manila, as you know, is overseas Filipino workers and those who have returned to the Philippines."
"Custer County Commissioner Mark Hartman has previously said he 'doesn 't want the courthouse to be a IDsittingduckID for bad actors who may come to the courthouse to cause problems , ' the Custer County Chronicle reported in November .","Custer County Commissioner Mark Hartman has previously said he 'doesn 't want the courthouse to be a place where an animal known for its webbed feet and waterfowl behavior would sit for bad actors who may come to the courthouse to cause problems , ' the Custer County Chronicle reported in November ."
"The danger in this episode is brought on by a hematoma , what is more commonly referred to as a ''bump'' or ''goose egg'' after hitting your head.","The danger in this episode is brought on by a blood-filled swelling, what is more commonly referred to as a swelling or a large, rounded egg caused by a bruise after hitting your head."
"It said he was obsessed with collecting his payments for personal appearances in cash , evading paying income tax , having numerous sexual encounters with women other than his wife , never picking up a check , consorting with Mafia figures , and loaning more than $ 100,000 to finance a Cleveland loan shark.","It said he was obsessed with collecting his payments for personal appearances in cash , evading paying income tax , having numerous sexual encounters with women other than his wife , never picking up a check , consorting with organized crime figures who charge exorbitant interest on loans , and loaning more than $ 100,000 to finance a business that charges exorbitant interest on loans in Cleveland."
"As many of his friends and colleagues know him to be , Esplago has always been a IDbusybeeID who makes changes happen whenever he goes .","As many of his friends and colleagues know him to be , Esplago has always been an extremely active person who makes changes happen whenever he goes ."
Both women brush the incident aside and chalk it up to ancient history.,Both women brush the incident aside and consider it to be a very old event.
"Five hundred years hence we shall be quite IDancient historyID ourselves, and folks can romance over our tombstones if they feel inclined.","Five hundred years from now, we will be a part of a period of time long past, and people can express love and affection near the grave markers of our deceased bodies if they wish to do so."
Department of Justice Inspector General Michael Horowitz released a IDcritical reviewID which found the department '' failed to effectively prepare for and manage the policy 's implementation . ,Department of Justice Inspector General Michael Horowitz released a review that found the department failed to effectively prepare for and manage the policy's implementation correctly
"One thing is different this time around , however — Fox News is no longer the topdog","One thing is different this time around , however — Fox News is no longer the leading news channel"
"In classic Colonial Revival style , the Lauriston Estate includes a marble foyer and spacious IDentrancehallID leading to a unique dual bowed staircase .","In classic Colonial Revival style , the Lauriston Estate includes a marble foyer and spacious front hall leading to a unique dual bowed staircase ."
"In the film , Barbara Stanwyck plays a beautiful con artist named Jean who jeopardizes her scheme when she accidentally falls in love with her mark, Charles ( Henry Fonda ) , and decides to trick him all over again after he discovers the first ruse .","In the film , Barbara Stanwyck plays a beautiful person who deceives others for personal gain named Jean who jeopardizes her plan when she accidentally has romantic feelings for the person she is trying to deceive, Charles ( Henry Fonda ) , and decides to deceive him again after he finds out the truth about the first time she deceived him ."
"Aram seeks to represent : “ All persons in the United States who ( 1 ) received a text message to their IDcellularphoneID number from Defendants , ( 2 ) within four years prior to the filing of this action , ( 3 ) which text message was sent without the recipient ’ s prior express consent , and ( 4 ) which text message ( s ) ( a ) advertised Defendants or ( b ) encouraged the recipient to make a purchase from Defendants . ”","Aram seeks to represent : “ All persons in the United States who ( 1 ) received a text message to their mobile telephone number from Defendants , ( 2 ) within four years prior to the filing of this action , ( 3 ) which text message was sent without the recipient ’ s prior express consent , and ( 4 ) which text message ( s ) ( a ) advertised Defendants or ( b ) encouraged the recipient to make a purchase from Defendants . ”"
"The cabin features an electric cooking stove and lights, but other amenities are limited.","The cabin features a cooking appliance that uses electricity and lights, but other amenities are restricted in quantity or availability."
"He then fed those numbers and data on the species ’ behavior and habitat into a IDcomputerprogramID that modeled how much heat stress an animal would be exposed to , and how well it could cool itself , under different temperature conditions .","He then fed those numbers and data on the species ’ behavior and habitat into a program that ran on a computer that modeled how much heat stress an animal would be exposed to , and how well it could cool itself , under different temperature conditions ."
Leinster have become such a big fish in such a small pool that something will have to give.,Leinster have become very powerful in a relatively small group that something will eventually change or compromise.
"I 've got whole families that are making this an event where we 've got people coming down from Minnesota to spend some time together and I 've got serious anglers bringing in serious electronic gear to try and catch IDbigfishID , so it is really cool how this thing all works out and it 's fun , '' Bruns said .","I 've got whole families that are making this an event where we 've got people coming down from Minnesota to spend some time together and I 've got serious anglers bringing in serious electronic gear to try and catch large fish , so it is really cool how this thing all works out and it 's fun , '' Bruns said ."
"One of the things that we have been able to do is to look at venture capital and say , 'Look , there are a lot of rote , repetitive tasks that venture capitalists do , and what if we could eliminate those tasks , so that we do n't need to hire the boiler room of Ivy League grads to cold call the entire IDphonebookID and annoy all the entrepreneurs and do all that kind of stuff .","One of the things that we have been able to do is to look at venture capital and say , 'Look , there are a lot of rote , repetitive tasks that venture capitalists do , and what if we could eliminate those tasks , so that we do n't need to hire a large group of people from Ivy League universities to make initial contact with a large list of phone numbers and disturb all the business owners and do all that kind of work ."
"Europe has n't come this close to a major blackout since 2006 when more than 15 million households were plunged into darkness for hours, although there was another IDnarrow escapeID when the frequency dropped dangerously low at the start of 2019","Europe has n't come this close to a major blackout since 2006 when more than 15 million households were plunged into darkness for hours, although there was another very close call when the frequency dropped dangerously low at the start of 2019"
"The White House job was well compensated — former chief ushers say salaries run in the $ 200,000 range — but the days are long , particularly if the president is an early riser or a nightowl ; Mr. Trump was both .","The White House job was well compensated — former chief ushers say salaries run in the $ 200,000 range — but the days are long , particularly if the president is an early riser or a person who stays awake late at night ; Mr. Trump was both an early riser and a person who stays awake late at night ."
"I did n't have to do that very often , thank God , but when it was my turn to lay out pages , I would either have to get up before dawn to get the Sports section done ( a horrible fate for a IDnightowlID like myself ) or stay at the office until 2 or 3 a.m. working on the next day 's Sports section .","I did n't have to do that very often , thank God , but when it was my turn to lay out pages , I would either have to get up before dawn to get the Sports section done ( a horrible fate for someone who prefers the night time ) or stay at the office until 2 or 3 a.m. working on the next day 's Sports section ."
Bonus features such as achievements and a dark mode for the IDnightowlID mobile gamers are also included should you need them.,Bonus features such as achievements and a mode for people who are active at night using a mobile device are also included should you need them.
The researchers said experience shows 'night owl' patients with depression are less likely to recover and are more likely to commit suicide.,The researchers said experience shows individuals who stay up late at night patients with depression are less likely to recover and are more likely to commit suicide.
"They looked at nine 'early birds' and nine 'night owls', who were classified as such based on a questionnaire.","They looked at nine people who wake up early and nine people who stay awake late, who were classified as such based on a questionnaire."
"Experts say a spectrum of natural sleeping and waking rhythms exists, ranging from extreme morning people to extreme 'nightowls'.","Experts say a spectrum of natural sleeping and waking rhythms exists, ranging from people who wake up very early to people who wake up very late."
"Whether you're a night owl or early bird , though , try to make sure you're not diving right onto your phone .","Whether you are a person who stays up late at night or a person who wakes up early , though , try to make sure you are not jumping straight into your phone ."
A new study examines how morning people compare with IDnightowlIDs on a strength test and looks at what other physiological processes may contribute to their performance .,A new study examines how individuals who wake up early compare with individuals who stay up late on a strength test and looks at what other physiological processes may contribute to their performance .
"It 's very difficult for a IDnightowlID to become a morning person, Collop said .","It 's very difficult for someone who is most active at night to start waking up early, Collop said ."
"Their biological clocks shifted into “night owl” gear, and their activity and homework demands rose, just as my husband and I sunk into middle age.","Their natural instinct to have children shifted into a state of being active late at night, and their responsibilities related to childcare and schoolwork increased, just as my husband and I entered a period in our life when our ability to have children is decreasing."
He has always been a nightowl and I have always been an early morning person.,He has always been a person who prefers to be active at night and I have always been a person who prefers to be active early in the morning.
Ben Salmon is a committed nightowl with an undying devotion to discovering new music.,Ben Salmon is a person who prefers to stay awake late at night with an intense enthusiasm for constantly finding new musical content.
"Second, it ties the working class to fronts formed on bourgeois programs , weakens and politically disarms it, and creates the opportunity for the class enemy to drown the working class and the poor peasants in a bloodbath.","Second, it ties the working class to fronts formed on programs supported by the wealthy elite, weakens and disarms it politically, and creates the opportunity for the opposing class to cause a large amount of death and injury in a violent conflict."
Mojo Horne turned Brendan Seguin into a IDbloodbathID as he dropped countless elbows onto Seguins face while maintaining a dominating mounted position Seguin simply could n't get out of and kept hold of his 185lb Pro Title.,Mojo Horne turned Brendan Seguin into a severe beating as he inflicted numerous blows to Seguins face while maintaining a dominant controlling position where Seguin was unable to escape and continued to grasp his 185lb Pro Title.
"The US embassy will remain in Jerusalem, as this act was the implementation of a law passed by Congress in 1995, despite wild predictions of a “bloodbath” if a move took place.","The US embassy will remain in Jerusalem, as this act was the implementation of a law passed by Congress in 1995, despite wild predictions of a severe and violent massacre if a move took place."
"It is not because these media outlets don't know the truth, it is because they want a bloodbath in Ethiopia by garnering support for the TPLF.","It is not because these media outlets don't know the truth, it is because they want massive violence and killing to occur in Ethiopia by soliciting support for the Tigray People's Liberation Front."
"Death Valley could well have had its own IDbloodbathID, had the officers provided the opportunity.","Death Valley could well have had its own extremely violent and deadly conflict, had the officers provided the opportunity."
No one in Egypt wants a IDbloodbathID or purges that may unjustly injure or dispossess the innocent .,No one in Egypt wants a violent and extremely deadly conflict or systematic removal of people from their homes that may unjustly harm or take away the rights of the people who have done nothing wrong .
"There are countless videos of people reacting to the IDbloodbathID that was the Red Wedding , but here 's a nice compilation to get you started .","There are countless videos of people reacting to the violent and intense slaughter that was the Red Wedding , but here 's a nice compilation to get you started ."
"Sick and tired of riots and IDbloodbathID almost every month , Delhi , Bangalore and now again Delhi # RedFort , '' the actress wrote in a separate tweet .","Sick and tired of riots and a large amount of blood being spilled almost every month, Delhi, Bangalore and now again Delhi # RedFort, '' the actress wrote in a separate tweet."
"She captioned her video on Twitter , “ Sick and tired of riots and bloodbath almost every month , Delhi , Bangalore and now again Delhi . ”","She captioned her video on Twitter , “ Extremely exhausted and fed up with violent conflicts resulting in a large number of deaths almost every month , Delhi , Bangalore and now again Delhi . ”"
"Make your way back to the stronghold, again either leaving a bloodbath in your path or sneak back to the stronghold.","Make your way back to the fortified central location, again either causing a massacre or move stealthily back to the fortified central location."
"Davies said they found 'A woman with no shoes on, blood all over, one eye was completely shut, hair missing, just a bloodbath.'","Davies said they found 'A woman with no shoes on, blood all over, one eye was completely shut, hair missing, just a scene of extreme violence and bloodshed.'"
"But when he ropes her into one of his criminal schemes , she finds herself in the midst of a brutal IDbloodbathID , willing to step in and save her man's life…by any means necessary .","But when he ropes her into one of his criminal schemes , she finds herself in the midst of violent mass murder , willing to step in and save her man's life…by any means necessary ."
"To avoid a bloodbath, prison officials ordered the gate to be opened.","To avoid a violent and bloody massacre, prison officials ordered the gate to be opened."
"The Honduran Catholic Church called on all parties to avoid a ""bloodbath"".",The Honduran Catholic Church called on all parties to avoid a very violent and bloody massacre.
Take the challenge and come out victorious from a bloodbath with ferocious beasts!,Take the challenge and emerge alive from a violent and extremely bloody fight with wild and fiercely aggressive animals.
If the rioters were Black it 'd be a bloodbath.,"If the rioters were black people, it would be a massacre with a lot of deaths involving blood."
It 's going to be a IDbloodbathID .,It 's going to be a very violent and bloody confrontation or situation.
"We didn't go through the IDbloodbathID last week for nothing, keep it up boys !!","We didn't go through tough and violent conflict last week for nothing, keep up the good work boys !!"
"They propose that this region was filled with IDfreshwaterID between 70,000–62,000 years ago and approximately 150,000–131,000 years ago , and that these changes occurred over relatively short periods of time .","They propose that this region was filled with a large amount of non-salty water between 70,000–62,000 years ago and approximately 150,000–131,000 years ago , and that these changes occurred over relatively short periods of time ."
"IDfreshwaterID is less dense than salt water , and so in regions where an excess of has accumulated we expect a localized rise in sea level , ' says Craig Rye , an oceanography researcher at of the University of Southampton in the UK , who , with colleagues , has published the findings in Nature Geoscience .","fresh water is less dense than salt water , and so in regions where an excess of fresh water has accumulated we expect a localized rise in sea level , ' says Craig Rye , an oceanography researcher at the University of Southampton in the UK , who , with colleagues , has published the findings in Nature Geoscience ."
"Due to the lack of adequate reporting requirements , it ’ s virtually impossible to determine at this time exactly how much IDfreshwaterID is used in hydraulic fracturing today .","Due to the lack of adequate reporting requirements , it ’ s virtually impossible to determine at this time exactly how much water from rivers lakes and streams is used in hydraulic fracturing today ."
"The review warned of waning biodiversity within Earth 's soil , which provides 65 percent of the planet 's freshwater and 99 percent of humans ' calorific intake .","The review warned of decreasing variety in the types of living organisms within Earth 's soil , which provides 65 percent of the planet 's freshwater and 99 percent of humans ' calorific intake ."
The IDfreshwaterID would be pumped from the lake via a pipeline to a proposed headwall at the coast road where another pipeline would carry the water to tarpaulins which would be towed by boat to the sites where the fish would be treated.,Clean or recently filled water would be pumped from the lake via a pipeline to a proposed headwall at the coast road where another pipeline would carry it to waterproof canopies which would be pulled by a boat to the sites where the fish would be treated.
"Oil and gas companies industrywide have made great strides in recent years to replace the use of IDfreshwaterID with a combination of recycled and produced water for hydraulic fracturing, the main use of by the industry.","Oil and gas companies industrywide have made great strides in recent years to replace the use of untreated water that has not been mixed with other substances with a combination of recycled and produced water for hydraulic fracturing, the primary use of water by the industry."
"Eels in the Susquehanna River help transport IDfreshwaterID mussels that act as small filtration devices , combing out toxins from the water .","Eels in the Susquehanna River help transport mussels that act as small filtration devices , removing contaminants from the water ."
"Ursa called for drilling within 900 feet of the Colorado River , 600 feet from the PUD ’ s IDfreshwaterID supply , and 500 feet from homes ","Ursa called for drilling within 900 feet of the Colorado River , 600 feet from the PUD ’ s pure water supply , and 500 feet from homes "
A cubic meter of freshwater entering the ocean will release as much energy as a cubic meter of water falling 270 meters ,A cubic meter of water entering the ocean will release as much energy as a cubic meter of water falling 270 meters 
"Egypt views the Grand Ethiopian Renaissance Dam as a major threat to its freshwater supplies, more than 90% of which come from the Nile.","Egypt views the Grand Ethiopian Renaissance Dam as a major threat to its clean water supplies, more than 90% of which come from the Nile."
This means they can be submerged in up to 3 feet (1 meter) of IDfreshwaterID for up to 30 minutes.,This means they can be submerged in up to 3 feet (1 meter) of water that has not been mixed with salt for a period of up to 30 minutes.
"For now , the stone face sits in a tank of IDfreshwaterID , denuded of seaweed and cleansed of salt .","For now , the stone face sits in a tank of water with low salinity , free from seaweed and without salt ."
"In that case, he adds, priorities would have to be clearly established — for example, there should always be enough IDfreshwaterID for cooking or showering, but not necessarily for watering a private garden.","In that case, he adds, priorities would have to be clearly established — for example, there should always be enough clean water from a natural source not affected by the ocean for cooking or showering, but not necessarily for watering a private garden."
"In addition to food, IDfreshwaterID is also critical for bird health.","In addition to food, clean water from rivers, lakes, or other bodies that are not salty is also critical for bird health."
"They come out with rich stories but they also start to develop a voice for indigenous people, and for our public lands, and IDfreshwaterID.","They come out with rich stories but they also start to develop a voice for indigenous people, and for our public lands, and natural unpolluted water."
Michigan has a lot of IDfreshwaterID lakes.,Michigan has a lot of lakes that have been very recently filled with water.
"In layperson 's terms , he created carbon eating concrete while reducing the demand for IDfreshwaterID .","In layperson 's terms , he created concrete that absorbs carbon while decreasing the demand for clean water that has not been previously used ."
"Having the clear water and sandy beaches , so many freshwater lakes , is pretty cool .","Having the clear water and sandy beaches, so many water bodies that are not saltwater, is pretty cool."
"Researchers from the Alfred Wegener Institute and MARUM have now published new findings about the past of the Arctic Ocean : Since the last 150,000 years , it is believed to have been covered at least twice by ice shelves more than 900 meters thick and to have been completely filled with IDfreshwaterID during the last ice age .","Researchers from the Alfred Wegener Institute and MARUM have now published new findings about the past of the Arctic Ocean : Since the last 150,000 years , it is believed to have been covered at least twice by ice shelves more than 900 meters thick and to have been completely filled with water that has not been salted or contaminated by the sea during the last ice age ."
A prototype device that feeds an LCD screen when the electrodes go from salt to freshwater and vice versa.,A prototype device that feeds an LCD screen when the electrodes go from a solution with a high concentration of dissolved salts to a solution with a low concentration of dissolved salts and vice versa.
"We aim to provide sustainable freshwater supplies to coastal areas across Europe by trialling schemes, such as this one in Felixstowe.","We aim to provide potable water supplies to coastal regions across the continent of Europe by implementing experimental programs, such as this one in Felixstowe."
"In December 2020 , New Mexico Commissioner of Public Lands , Stephanie Garcia Richard , announced plans to halt the commercial sale of IDfreshwaterID from state trust lands for oil and gas development .","In December 2020 , New Mexico Commissioner of Public Lands , Stephanie Garcia Richard , announced plans to halt the commercial sale of unpolluted or unspoiled water from state trust lands for oil and gas development ."
"The production of hydrogen right now requires freshwater, but if it could be done with saltwater, production would be exponentially easier.","The production of hydrogen right now requires pure water that has not been contaminated by seawater or other sources, but if it could be done with seawater or contaminated water, production would be exponentially easier."
"After the water is gone , you should flush the system with freshwater to remove any dirt , algae , grime , or salt that is still present .","After the water is gone , you should flush the system with new water to remove any dirt , algae , grime , or salt that is still present ."
"Instead, he discovered that, in the lab at least, lightning-like discharges are brighter over salt water than over freshwater or soil.","Instead, he discovered that, in the lab at least, lightning-like electrical discharges have higher intensity over seawater than over pure water or land."
The Nature Conservancy is working on multiple fronts to protect Georgia’s IDfreshwaterID and ensure the availability of clean water for people and nature.,The Nature Conservancy is working on multiple fronts to protect Georgia’s water that has not been mixed with salt and ensure the availability of clean water for people and nature.
"Using guidance from tea experts , I poured IDfreshwaterID into the kettle ( never reuse already boiled water , they say ) and brought it to a boil .","Using guidance from tea experts, I poured water that has not been boiled before into the kettle (do not use water that has already been boiled, they say) and brought it to a boil."
Then top it off daily with more IDfreshwaterID at least every other day.,Then top it off daily with more clean water at least every other day.
"A rain barrel is an easy way to collect a consistent supply of clean , IDfreshwaterID for outdoor use to water plants , to wash your car , or to top a swimming pool , all for free .","A rain barrel is an easy way to collect a consistent supply of water that has recently fallen from the sky for outdoor use to water plants , to wash your car , or to top a swimming pool , all for free ."
"The solvAQUA proprietary process is an effective solution to wastewater management - whether it is water for industrial use , agriculture , and community infrastructure ; or it can be for clean , IDfreshwaterID for reuse .","The solvAQUA proprietary process is an effective solution to wastewater management - whether it is water for industrial use , agriculture , and community infrastructure ; or it can be for water that has not been contaminated by human waste or pollutants for reuse ."
