original_sentence,translated_sentence
"In the Talcott transaction , Sixth Street is buying from a group of investors who have worked to grow the IDinsurance companyID over the past several years , including Cornell Capital LLC , Atlas Merchant Capital LLC , TRB Advisors LP and Global Atlantic Financial Group .","In the Talcott transaction , Sixth Street is buying from a group of investors who have worked to grow the insurance company over the past several years , including Cornell Capital LLC , Atlas Merchant Capital LLC , TRB Advisors LP and Global Atlantic Financial Group ."
"It was empty , but on the floor lay the pillowslip which Sylvia had defended from John so heatedly .","It was empty , but on the floor lay the piece of fabric which Sylvia had protected from John so heatedly ."
"But although duststorms are frequent during the Australian spring and summer , and Australian dust has a high iron content , witnessing the oceans bloom has proven elusive .","But although severe dust storms are frequent during the Australian spring and summer , and Australian dust has a high iron content , witnessing the oceans bloom has proven difficult to achieve ."
"And AMANDA ABRIGHT ( as Bobbi Michele ) is certainly too young to have been a `` flower child '', but she bloomed on stage splendidly !","And AMANDA ABRIGHT ( as Bobbi Michele ) is certainly too young to have been a person who was part of the 1960s counterculture movement characterized by a rejection of mainstream values and an emphasis on peace and love, but she bloomed on stage splendidly !"
"In Washington , Biden invited 10 moderate Republicans to the White House to discuss his proposed $ 1.9 trillion IDeconomicaidID plan .","In Washington , Biden invited 10 moderate Republicans to the White House to discuss his proposed $ 1.9 trillion social welfare program plan ."
Children of Jaws ' might have been a better title for this teen version of the big fish story,Children of Jaws ' might have been a better title for this teen version of the large fish tale
"Excited by the potential of uncovering ancient pasts , researchers and traditional custodians in Australia and beyond are stepping offshore to delve deeper into Indigenous histories , in search of sites that probably would have been destroyed or eroded if they lay on IDdrylandID .","Excited by the potential of uncovering ancient pasts , researchers and traditional custodians in Australia and beyond are stepping offshore to delve deeper into Indigenous histories , in search of sites that probably would have been destroyed or eroded if they lay in areas with very little rainfall."
"For example , in the data set , there was no difference between IDdrylandID and paddy land .","For example , in the data set , there was no difference between land that is dry and land used for growing rice."
"The private eye later played himself in `` The Insider , '' the 1999 Hollywood film about the case starring Al Pacino and Russell Crowe .","The actual private investigator later appeared as himself in `` The Insider , '' the 1999 Hollywood film about the case starring Al Pacino and Russell Crowe ."
"While the popularity of ties has waxed and waned over the last few centuries , the bowtie business is strong in 2011 , as the piece of apparel is fashionable for both formal and casual dress .","While the popularity of ties has increased and decreased over the last few centuries , the bowtie business is strong in 2011 , as the piece of apparel is fashionable for both formal and casual dress ."
Assessments will consist of two hour closedbook examinations containing short answer questions requiring critical analysis of complex case studies as well as Multiple Choice Questions,Assessments will consist of two hour exams without reference materials containing short answer questions that demand in-depth evaluation of intricate real-world scenarios as well as Multiple Choice Questions
One of those circumstances is if the offender has a serious physical or mental disorder or disability and is being held in the treatment facility operated by the department until they may be placed in a similar treatment setting outside the department.,One of those circumstances is if the offender has a serious physical or health issue or cognitive impairment and is being held in a medical facility operated by the department until they may be placed in a similar medical facility outside the department.
The moral character of a bad hat is secondary.,The moral quality of someone who wears a hat that is of poor quality is not the most important thing.
He is a proverbial lifevest that has pulled so many people through in times of despair during these extended periods of remote learning,He is a source of support that has helped so many people survive difficult times during these extended periods of remote learning
"The directory , IDmailing listID and other publishers market is segmented into directory and and other publishers .",The directory and other publishers market is segmented into mailing lists and other publishers .
"The 1st Circuit Court of Appeals previously decided in support of law enforcement regarding Caniglia v Strom , writing , `` At its core , the community caretaking doctrine is designed to give police elbowroom to take appropriate action when unforeseen circumstances present some transient hazard that requires immediate attention . ''","The 1st Circuit Court of Appeals previously decided in support of law enforcement regarding Caniglia v Strom , writing , `` At its core , the community caretaking doctrine is designed to give police the freedom to take appropriate action when unforeseen circumstances present some transient hazard that requires immediate attention . ''"
It 's such a sign of the morale here at the IDcallcentreID that each year they pick a charity they would like to help to support and they raise the money themselves and we are honoured that it is the hospital foundation this year . ,It 's such a reflection of the team 's spirit here at the call centre that each year they select a charity they wish to assist and they collect the funds themselves and we are honored that it is the hospital foundation this year . 
"But if the tantalising IDdreamticketID of two `` Basque Clasico '' Copa finals in 14 April days can come off then the temperature , never mind that Sevilla can be rainy around Easter , will be absolutely fever pitch .","But if the highly desirable opportunity of two `` Basque Clasico '' Copa finals in 14 April days can come true then the temperature , never mind that Sevilla can be rainy around Easter , will be extremely intense ."
"In another post, he said: 'Our NHS is treated as a sacred cow and can not be criticised.","In another post, he said: 'Our NHS is treated as something that is considered extremely valuable and protected from criticism and cannot be criticised."
"Zozoglass '', a pair of spectacles covered with colour swatches and markers, detects skin tone when scanned with a smartphone for tailored cosmetics recommendations on Zozotown, Japan's biggest online fashion site.","Zozoglass '', a pair of spectacles covered with colour swatches and markers, detects the actual colour of a person's skin when scanned with a smartphone for tailored cosmetics recommendations on Zozotown, Japan's biggest online fashion site."
"At a time when many cities have undertaken Vision Zero campaigns to eliminate traffic fatalities , and made a move toward “ complete street ” design — which takes cyclists and pedestrians as much into account as it does the movement of cars — it ’ s time for the U.S. Department of Transportation , newly helmed by Pete Buttigieg , to catch up and not simply function as a sugar daddy for highways .","At a time when many cities have undertaken Vision Zero campaigns to eliminate traffic fatalities , and made a move toward “ complete street ” design — which takes cyclists and pedestrians as much into account as it does the movement of cars — it ’ s time for the U.S. Department of Transportation , newly helmed by Pete Buttigieg , to catch up and not simply provide excessive financial support for highways ."
"Branch has a number of tips that will make the IDweddingdayID itself run more smoothly and if there ’ s one aspect that I ’ d stress , it ’ s the need to make sure that you don ’ t find yourself formatting memory cards while shooting .","Branch has a number of tips that will make the actual wedding day itself run more smoothly and if there ’ s one aspect that I ’ d stress , it ’ s the need to make sure that you don ’ t find yourself preparing for the wedding day while taking photos ."
"Several speakers, including the representative of Afghanistan, said States must lend robust support to the peace process and the proposed international peace conference, with a view to advancing along the road towards a two-State solution.","Several speakers, including the representative of Afghanistan, said States must lend robust support to the peace process and the proposed international meeting for achieving peace, with a view to advancing along the road towards a two-State solution."
"Apart from the exports, the British thinktank also said that import growth picked up in December too, resulting in faster growth in Q4 compared to the previous quarter.","Apart from the exports, the British group of experts also said that growth in the import of goods picked up in December too, resulting in faster growth in the fourth quarter compared to the previous quarter."
"The IDsilverliningID this year especially for the hotels in Metro Manila , as you know , is the OFWs and balikbayans .","The main advantage this year especially for the hotels in Metro Manila , as you know , is the Overseas Filipino Workers and returnees ."
"Custer County Commissioner Mark Hartman has previously said he doesn ’ t want the courthouse to be a IDsitting duckID for bad actors who may come to the courthouse to cause problems , ","Custer County Commissioner Mark Hartman has previously said he doesn ’ t want the courthouse to be a target for bad actors who may come to the courthouse to cause problems , "
"The danger in this episode is brought on by a hematoma, what is more commonly referred to as a ""bump"" or ""goose egg"" after hitting your head.","The danger in this episode is brought on by a hematoma, what is more commonly referred to as a swelling or a large, painful lump after hitting your head."
"It said he was obsessed with collecting his payments for personal appearances in cash , evading paying income tax , having numerous sexual encounters with women other than his wife , never picking up a check , consorting with Mafia figures , and loaning more than $ 100,000 to finance a Cleveland loanshark.","It said he was obsessed with collecting his payments for personal appearances in cash , evading paying income tax , having numerous sexual encounters with women other than his wife , never picking up a check , consorting with Mafia figures , and loaning more than $ 100,000 to finance a person who lends money at excessive interest rates in Cleveland."
"As many of his friends and colleagues know him to be , Esplago has always been a IDbusybeeID who makes changes happen whenever he goes .","As many of his friends and colleagues know him to be , Esplago has always been a person who is constantly active and busy making changes happen whenever he goes ."
Both women brush the incident aside and chalk it up to ancient history,Both women dismiss the incident and attribute it to events that occurred a long time ago
"Five hundred years hence we shall be quite IDancienthistoryID ourselves , and folks can romance over our tombstones if they feel inclined .","Five hundred years hence we shall be quite forgotten ourselves , and folks can reminisce over our tombstones if they feel inclined ."
Department of Justice Inspector General Michael Horowitz released a critical review which found the department `` failed to effectively prepare for and manage the policy 's implementation . ,Department of Justice Inspector General Michael Horowitz released a very important evaluation which found the department `` failed to effectively prepare for and manage the policy 's implementation . 
"One thing is different this time around, however — Fox News is no longer the IDtopdogID.","One thing is different this time around, however — Fox News is no longer the leading news channel."
"In classic Colonial Revival style , the Lauriston Estate includes a marble foyer and spacious entrance hall leading to a unique dual bowed staircase .","In classic Colonial Revival style , the Lauriston Estate includes a marble foyer and spacious main reception area leading to a unique dual bowed staircase ."
"In the film, Barbara Stanwyck plays a beautiful con artist named Jean who jeopardizes her scheme when she accidentally falls in love with her mark, Charles (Henry Fonda), and decides to trick him all over again after he discovers the first ruse.","In the film, Barbara Stanwyck plays a beautiful person who deceives others for personal gain named Jean who jeopardizes her plan to deceive when she accidentally falls in love with her target, Charles (Henry Fonda), and decides to deceive him all over again after he discovers the first deception."
