s1|s2|sts_score|metric_score
A girl is flying a kite.|A girl running is flying a kite.|0.8|0.8179477453231812
A man is riding a mechanical bull.|A man rode a mechanical bull.|0.8|0.8351193070411682
The man is playing the guitar.|A man is playing a guitar.|0.9818|0.8713969588279724
A woman is dancing and singing with other women.|A woman is dancing and singing in the rain.|0.6|0.7571035027503967
A man is slicing a bun.|A man is slicing an onion.|0.48|0.7815109491348267
A man is pouring oil into a pan.|A man is pouring oil into a skillet.|0.8400000000000001|0.8811386227607727
A lion is playing with people.|A lion is playing with two men.|0.6799999999999999|0.8704493641853333
A dog rides a skateboard.|A dog is riding a skateboard.|1.0|0.9047608971595764
Someone is carving a statue.|A man is carving a statue.|0.75|0.82454913854599
A woman is slicing an onion.|A man is cutting an onion.|0.55|0.8210954070091248
A woman peels shrimp.|A woman is peeling shrimp.|1.0|0.8405234813690186
A woman is frying fish.|A woman is cooking fish.|0.8|0.8664669990539551
A woman is playing an electric guitar.|A woman is playing a guitar.|0.72|0.9091425538063049
A baby tiger is playing with a ball.|A baby is playing with a doll.|0.32|0.7655922770500183
A person is slicing a tomato.|A person is slicing some meat.|0.35|0.8046985864639282
A person cuts an onion.|A person is cutting an onion.|1.0|0.8523056507110596
A man is playing the piano.|A woman is playing the violin.|0.2|0.7931677103042603
A woman is playing the flute.|A man is playing the guitar.|0.2|0.7909942269325256
A man is cutting up a potato.|A man is cutting up carrots.|0.475|0.8627986907958984
A kid is playing guitar.|A boy is playing a guitar.|0.76|0.8620862364768982
A boy is playing guitar.|A man is playing a guitar.|0.64|0.9126899242401123
A man is playing guitar.|A boy is playing a guitar.|0.64|0.8979164958000183
A little boy is playing a keyboard.|A boy is playing key board.|0.8800000000000001|0.8241891264915466
A man is playing a guitar.|A man is playing an electric guitar.|0.75|0.9090737700462341
A dog licks a baby.|A dog is licking a baby.|0.95|0.9228737950325012
A woman is slicing an onion.|A man is cutting and onion.|0.64|0.7478434443473816
A man is playing the guitar.|A man is playing the drums.|0.3112|0.8616451025009155
A woman is slicing a pepper.|A woman is cutting a red pepper.|0.7876000000000001|0.8379305601119995
A man is playing the drums.|A man plays the drum.|1.0|0.9075539708137512
A woman rides a horse.|A woman is riding a horse.|1.0|0.8675179481506348
A man is eating a banana by a tree.|A man is eating a banana.|0.8|0.853851854801178
A cat is playing a key board.|A man is playing two keyboards.|0.32|0.5805134177207947
A man chops down a tree with an axe.|A man cut a tree with an axe.|0.95|0.8874761462211609
A kid plays with a toy phone.|A little boy plays with a toy phone.|0.7|0.9004047513008118
A man is riding a motorcycle.|A man is riding a horse.|0.2799999999999999|0.801280677318573
A man is riding a motorcycle.|A man is riding a horse.|0.2799999999999999|0.801280677318573
A squirrel is spinning around in circles.|A squirrel runs around in circles.|0.8|0.8725942969322205
A man and a woman are kissing.|A man and woman kiss.|1.0|0.805152952671051
A man is getting into a car.|A man is getting into a car in a garage.|0.7666000000000001|0.8494292497634888
A man is dancing.|A man is talking.|0.12|0.6794191598892212
A man is playing the guitar and singing.|A man is playing the guitar.|0.5833999999999999|0.8504485487937927
A person is cutting mushrooms.|A person is cutting mushrooms with a knife.|0.8400000000000001|0.8220404982566833
A tiger cub is making a sound.|A tiger is walking around.|0.4|0.6360419392585754
A person is slicing onions.|A person is peeling an onion.|0.52|0.8122736811637878
A man is playing the piano.|A man is playing the trumpet.|0.32|0.8625686764717102
A woman is peeling a potato.|A woman is peeling an apple.|0.4|0.8493953347206116
A pankda is eating bamboo.|A panda bear is eating some bamboo.|0.8400000000000001|0.6826467514038086
A person is peeling an onion.|A person is peeling an eggplant.|0.4|0.7878971099853516
A monkey pushes another monkey.|The monkey pushed the other monkey.|0.96|0.7749144434928894
A squirrel runs around in circles.|A squirrel is moving in circles.|0.8800000000000001|0.8667083382606506
A man is tying his shoe.|A man ties his shoe.|1.0|0.8599013090133667
A boy is singing and playing the piano.|A boy is playing the piano.|0.6|0.8786707520484924
A dog is eating water melon.|A dog is eating a piece of watermelon.|0.85|0.8155465722084045
A woman is chopping broccoli.|A woman is chopping broccoli with a knife.|0.85|0.7911778092384338
A man is peeling a potato.|A man peeled a potatoe.|0.76|0.7785778045654297
A woman is playing a guitar.|A man plays a guitar.|0.48|0.8589009046554565
A woman is slicing tomato.|A man is slicing onion.|0.32|0.8344623446464539
A man swims underwater.|A woman is swimming underwater.|0.4|0.8326967358589172
A man and woman are talking.|A man and woman is eating.|0.32|0.7543589472770691
A small dog is chasing a yoga ball.|A dog is chasing a ball.|0.8|0.8492904305458069
The men are playing cricket.|The men are playing basketball.|0.44|0.8045523762702942
A man rides off on a motorcycle.|A man is riding on a motorcycle.|0.8800000000000001|0.8103786706924438
A man is playing a guitar.|A man is singing and playing a guitar.|0.72|0.8453100323677063
The man talked on the telephone.|The man is talking on the phone.|0.72|0.8898302316665649
A man is fishing.|A man is exercising.|0.1|0.6150635480880737
A man is levitating.|A man is talking.|0.16|0.6181182265281677
Two boys are driving.|Two bays are dancing.|0.12|0.5624449849128723
A man is riding on a horse.|A girl is riding a horse.|0.52|0.8035973310470581
A man is riding a bicycle.|A monkey is riding a bike.|0.4|0.7170057892799377
A man is slicing potatoes.|A woman is peeling potato.|0.44|0.7609443068504333
A woman is peeling a potato.|A man is slicing potato.|0.48|0.8154380321502686
A man is playing a guitar.|Someoen is playing guitar.|0.72|0.831769585609436
A woman is slicing a leek.|A woman is slicing ginger.|0.44|0.6807246804237366
The man cut a paper plate.|A man is cutting a paper plate.|0.96|0.7662980556488037
The man is playing the guitar.|A man is playing the flute.|0.3286|0.8145991563796997
A man is playing the piano.|The man is playing the violin.|0.35|0.8368486762046814
A woman is slicing up some meat.|A woman is breading some meat.|0.45|0.732470691204071
A man is playing on his keyboard.|A man is playing a keyboard piano.|0.8|0.8426176309585571
The lady chopped up the green onions.|The lady cut up a green onion.|0.96|0.8564357161521912
Someone is sitring noodles in water.|A woman is boiling noodles in water.|0.64|0.5629814863204956
Lionel Richie is dancing on the ceiling.|Lionel Ritchie dances while standing on the ceiling.|0.8|0.7538896203041077
A man is playing a piano.|A person is playing the piano.|0.8800000000000001|0.8812870383262634
A woman is playing flute.|A woman plays on a flute.|0.92|0.8868238925933838
A boy is checking a calender.|A boy is looking at a calendar.|0.76|0.8795948624610901
A woman is cutting an onion.|A woman is chopping onions.|0.96|0.8260487914085388
A man is playing guitar.|A man plays a guitar.|0.9714|0.9162286520004272
A woman is using a sewing machine.|A woman is sewing on a machine.|1.0|0.9005852937698364
A woman is flipping pancakes.|A cartoon chef is flipping pancakes.|0.5065999999999999|0.7764033079147339
A man is running on the road.|A car is driving down the road.|0.2|0.6773834824562073
A man is riding on a horse.|A man is talking on a phone.|0.2|0.5150588154792786
A man is riding a bike.|A man is riding on a horse.|0.4|0.8147246241569519
A woman is dancing.|A man is eating.|0.0285999999999999|0.6276277303695679
A man is playing a piano.|A man is playing a flute.|0.4|0.880789041519165
A man is playing a flute.|A man is playing a piano.|0.32|0.8759710192680359
A man is spinning.|A man is dancing.|0.32|0.6094509363174438
A monkey is swinging from limb to limb.|A monkey is swinging from tree to tree.|0.6799999999999999|0.61973637342453
The people got off the train.|The people got off the train at the station.|0.8|0.8715070486068726
A dog is jumping on a trampoline.|A dog bounces on a trampoline.|0.96|0.8631359934806824
A boy is playing an instrument.|A man is playing a trumpet.|0.5|0.8211395144462585
A woman plays the guitar.|A man sings and plays the guitar.|0.35|0.7875716686248779
A woman is picking a can.|A woman is slicing a tomato.|0.2|0.6254264116287231
A man is climbing a rope.|A man climbs up a rope.|1.0|0.8887917995452881
A man is lifting a car.|A man is climbing a wall.|0.2799999999999999|0.7004753947257996
A man and woman are driving down the street in a jeep.|A man and woman are driving down the road in an open air vehicle.|0.8|0.7094783186912537
The shirtless man sat in a chair.|A shirtless man is sitting on a chair.|0.76|0.8486444354057312
Two women are wrestling.|Two women are wrestling on the floor.|0.8|0.8461809754371643
The puppy played with a blue tennis ball.|A puppy is playing with a tennis ball.|0.8|0.8191004991531372
A kangroo is eating something.|A kangaroo is eating.|0.96|0.7557922005653381
A cat is playing a piano.|A man is playing a guitar.|0.12|0.6893188953399658
The man cut some carpet with a knife.|A man is cutting carpet with a knife.|0.95|0.7671619057655334
A woman is riding a motorized scooter down a road.|A man is riding a motor scooter.|0.44|0.8086653351783752
someone is slicing a vegetable.|Someone is slicing a tomato.|0.6|0.8037647008895874
A woman is dancing.|A man is talking.|0.0|0.6333155632019043
A dog licks up a baby's drool.|A dog licks a baby.|0.44|0.7862473726272583
A man is rowing a boat.|A man is slicing a tomato.|0.08|0.5529197454452515
A man cuts up potatos.|A man slices potatoes.|0.96|0.5970103740692139
A woman is chopping up garlic.|The woman is dicing garlic.|0.96|0.7709372639656067
An animal run in circles.|A squirrel runs in circles.|0.76|0.6770988702774048
A man is walking slowly across a rope bridge.|A boy is walking across a bridge.|0.6|0.8255932331085205
A man is playing the guitar.|A man seated in a room is playing the guitar.|0.8|0.7846408486366272
A man plays the flute.|A man is playing a flute.|1.0|0.9049255847930908
A woman cracks two eggs into a glass bowl.|A woman is cracking an egg into a bowl.|0.76|0.8259657025337219
A man is cutting a fish.|A man guts a fish.|0.6|0.5960536599159241
Two men are packing suitcases into the trunk of a car.|The men are putting suitcases into the car's trunk.|0.8800000000000001|0.8385223746299744
A man pours oil on some tomatos.|The man poured oil on the cut tomatoes.|0.76|0.8074249625205994
A man is slicing something.|A man is slicing a bun.|0.6|0.791552722454071
A man is paddling a canoe.|A man is playing a harp.|0.1334|0.5648279786109924
A man and woman are walking together through the woods.|A man and woman are walking arm in arm through a wooded area.|0.8|0.8200165629386902
The woman picked up the kangaroo.|A woman picks up a baby kangaroo.|0.75|0.7447990775108337
Fish are swimming.|A fish is swimming.|0.8266|0.8723906874656677
Two women mix something in a food processor.|Two women make something in a blender.|0.8|0.7752473950386047
A person is surfing a large wave.|A person is surfing.|0.72|0.7757635712623596
A man is playing a guitar.|A man is stabbing a target.|0.24|0.5746317505836487
A man is playing a flute in a band.|A man is playing a guitar.|0.32|0.8259508013725281
The man spread butter on the loaf of bread.|A man is spreading butter onto bread.|0.8|0.8239118456840515
A person is boiling noodles.|A woman is boiling noodles in water.|0.8|0.7568728923797607
A group of people dance on a hill.|A group of people are dancing.|0.64|0.7905391454696655
A man is dancing outside.|A man is playing flute.|0.2|0.6547573804855347
A woman is feeding a man.|A woman is mixing meat.|0.2|0.543756902217865
A man is putting a pan into an oven.|A woman is cutting an onion.|0.12|0.4902257025241852
A woman is sitting at a desk.|A woman is riding a donkey.|0.08|0.5094377994537354
Medics transport a patient on a stretcher.|A doctor rushes a patient on a stretcher.|0.6799999999999999|0.7609151601791382
A woman is playing a flute on stage.|The woman is playing the flute.|0.72|0.846712589263916
Two baby pandas are playing.|Two pandas are laying together.|0.6|0.6962057948112488
A baby is laughing.|A baby is laughing and giggling.|0.8|0.9042691588401794
A man is playing a guitar.|A boy is playing a piano.|0.24|0.8422722220420837
A man is folding paper.|A woman is slicing a pepper.|0.12|0.6034906506538391
Three women are dancing.|The man is dancing.|0.32|0.7987614274024963
The cats are playing with each other.|Two cats are fighting each other.|0.52|0.7470725178718567
A person is writing.|A person is writing with a pencil.|0.72|0.6420056819915771
A man is running.|A man is running down a road.|0.7|0.7724413275718689
The woman is rolling dough.|A woman is flouring and rolling dough.|0.753|0.8193555474281311
A woman is adding spices on a meat.|Woman is adding sugar to meat.|0.55|0.7151176929473877
A woman is adding oil on fishes.|A woman is pouring water on fish.|0.45|0.7814534306526184
A young boy is holding a guitar.|A little boy is playing a guitar.|0.55|0.8735353946685791
A cheetah is running.|A cheetah is running across a field.|0.76|0.7694640159606934
The man is eating pizza.|A man is eating a slice of pizza.|0.96|0.8221340179443359
An orangutan is riding a bus.|A monkey is riding on a bus.|0.72|0.8175185322761536
A man and a woman talk in a diner.|A man and a woman are riding on a bicycle.|0.24|0.5601295828819275
A man is playing a guitar.|A man is cleaning a glass door.|0.08|0.5893552303314209
A girl is singing and playing a guitar.|A young man is singing while playing the guitar.|0.48|0.8109892010688782
A girl is communicating with sign language.|A young girl is using sign language.|0.7882|0.8639026284217834
A woman is doing weight exercises.|A woman is doing her hair.|0.1|0.59344881772995
A man is getting inside a car.|An elderly man is getting into a red car.|0.75|0.6917859315872192
A big green ball knocks a potato over.|A large green ball hits a potato.|0.8|0.8708177208900452
A cat is playing keyboards.|A cat is playing a piano.|0.6|0.8302697539329529
Two dogs swim in a pool.|Dogs are swimming in a pool.|0.8400000000000001|0.8874722123146057
The man used a chopper to chop the onion.|The man used a machine to chop up a potatoe.|0.4|0.8195271492004395
A woman slices tofu.|A woman is cutting tofu.|1.0|0.8135070204734802
A herd of deer are crossing the street.|A herd of caribou are crossing a road.|0.6|0.7877404093742371
The person is riding the horse.|A man is riding a horse.|0.76|0.7241939306259155
Someone is feeding a animal.|Someone is playing a piano.|0.0|0.5416784286499023
Someone is slicing tortila's.|Someone is riding a horse.|0.0|0.4423740804195404
Someone is mixing ingrediants.|Someone is sewing things.|0.05|0.6526538729667664
A rooster pecks at a dead mouse.|A chicken is pecking at a dead mouse.|0.8|0.781780481338501
A woman holds a kangaroo.|A woman is picking up a kangaroo.|0.65|0.8005906939506531
A man is playing with frogs|A cat is playing with a camera.|0.15|0.7026313543319702
Two men are talking.|Two men are playing guitar.|0.3|0.6573027968406677
A man spreads butter on a big piece of bread.|A man is smearing butter on a slice of garlic bread.|0.7|0.7971516847610474
A man is running across a high wire.|A man is running on rope.|0.6|0.7690564393997192
A man is mowing a lawn.|A woman is cutting a lemon.|0.04|0.6104820370674133
A man is opening a door.|A man is playing a guitar.|0.16|0.5616040229797363
A man is slicing a potato into pieces.|A man is cutting a potato.|0.8400000000000001|0.7812665104866028
The woman is cutting cooked octopus.|A woman is chopping octopus.|0.76|0.6524730324745178
A man is punching through boards.|A dog is running through water.|0.08|0.43090730905532837
A man is dancing.|A man is eating bread.|0.16|0.6017698645591736
Someone is playing a piano.|A man is playing a guitar.|0.24|0.7967234253883362
Two foxes are eating from a plate on a brick patio.|Foxes are eating from a plate.|0.5599999999999999|0.7234150767326355
A boy is playing a key-board.|A boy is playing the piano.|0.64|0.7740495800971985
A person plays a keyboard.|Someone is playing a keyboard.|1.0|0.8242921233177185
A man is shooting a gun.|A man is spitting.|0.0|0.6175770163536072
Someone is slicing an onion.|Someoen is peeling a potato.|0.2|0.7225354313850403
A man is swimming.|A woman is slicing meat.|0.0|0.48679983615875244
A man is playing the guitar.|A man plays an acoustic guitar.|0.75|0.8409077525138855
A woman is slicing a pumpkin.|A woman is riding an elephant.|0.08|0.5054759383201599
A woman is dancing.|A woman is kneading dough.|0.08|0.5528835654258728
A woman is cracking eggs into a bowl.|A woman is placing skewers onto a rack.|0.12|0.6176482439041138
A car is moving through a road.|A car is driving down the road.|0.8|0.8513430953025818
Someone is greasing a pan.|Smeone is laying down.|0.08|0.42523208260536194
A man is playing guitar.|A man is draining pasta.|0.08|0.5630001425743103
A woman is drinking vodka.|A woman is exercising.|0.08|0.5506908893585205
A woman is cutting meat into pieces.|A woman is cutting up some meat.|0.96|0.8110054135322571
A man is rinsing a steak.|A man is playing a guitar.|0.12|0.5059491991996765
A man is selling items.|A man is cleaning the house.|0.16|0.6235656142234802
A man is jumping a wall.|A man jumps onto a short wall.|0.64|0.7760025858879089
Runners race around a track.|Runners compete in a race.|0.64|0.7608294486999512
A man is kicking a soccer ball.|A man is mixing a bowl.|0.12|0.5943467020988464
A woman is frying something.|A woman is riding a horse.|0.12|0.4556855261325836
A cat is licking a sucker.|A woman is slicing cucumber.|0.0|0.49672219157218933
A woman is dancing by a fire.|A woman is taking a bath.|0.2799999999999999|0.5385540723800659
The man is slicing a fish open.|A man is slicing a potato.|0.44|0.7354789972305298
Butter is melting in a pan.|A man is melting butter in a pan.|0.72|0.766493022441864
Three boys are dancing.|Kids are dancing.|0.6222000000000001|0.8743359446525574
A woman is playing a game with a man.|A man is playing piano.|0.12|0.6685889363288879
The man is driving a white car.|A man is giving an interview.|0.08|0.5741391777992249
A man drove his car.|A man is driving a car.|0.85|0.7225536108016968
A car backs out of a space.|A car is backing out of a blocked lane.|0.6|0.712705135345459
A man puts some cheese on a pizza.|The man sprinkled cheese on the pizza.|1.0|0.7471562027931213
The boy is playing the piano.|A boy plays a piano.|1.0|0.8451863527297974
The man played his guitar.|A man is playing a guitar.|0.75|0.8298167586326599
A man is riding a horse.|A man is playing a keyboard.|0.04|0.5725291967391968
A man is walking on a rope.|A man is riding a mo-pad.|0.08|0.6599375009536743
A girl is playing a flute.|A band is playing on a stage.|0.2572|0.6723769307136536
People step off a train.|A group of people get off a train.|0.92|0.7857434153556824
A woman is sewing on a machine.|A woman is breading some meat.|0.12|0.6468089818954468
A dog is looking into swimming pool.|A dog is walking around a pool.|0.4|0.7329831719398499
A man is buttering a piece of bread.|A man is applying butter to bread.|1.0|0.7942541241645813
A man is cutting tomatoes into pieces.|A woman is cutting some vegetables.|0.36|0.721947968006134
Three teenage girls danced in the room.|Some teenage girls are dancing for the camera.|0.48|0.7707275748252869
A lion is walking.|A lion is pacing in a pen.|0.48|0.7362293004989624
A man shooting a car.|A man is cutting a potato.|0.08|0.5145824551582336
A black horse is running around.|The horse is running.|0.8400000000000001|0.6996222734451294
A woman is deveining shrimp.|A man is dancing in rain.|0.0|0.43434175848960876
A man is riding a horse.|A woman is washing a freezer.|0.0|0.4275738298892975
A man walks down a path.|A man walks across a tight rope.|0.16|0.6860325336456299
A man is slicing a potato.|A woman is cutting a jalepeno.|0.2799999999999999|0.6539744734764099
A dog is barking at a ball.|A dog swims after a tennis ball.|0.3|0.653080403804779
A kid runs away from a fish swinging around on a fishing pole.|A little kid is running around a fishing pole.|0.5|0.7512995600700378
A man is walking along a path through wilderness.|A man is walking down a road.|0.5|0.7826886773109436
An elderly man is speaking at a podium.|A man is making a speech at the podium.|0.7|0.7433893084526062
A man riding a horse in slow motion.|A man is riding on a horse.|0.6799999999999999|0.7723254561424255
A person is cutting some burrata cheese.|The person is slicing cheese.|0.76|0.7003874182701111
The man is shooting an automatic rifle.|A man is shooting a gun.|0.76|0.8345890641212463
A man is crushing garlic with the back of a knife.|A woman is slicing meat with a knife.|0.3|0.7325652837753296
A woman is filing her fingernails with an emery board.|A woman is feeding her baby with a bottle.|0.1|0.42503687739372253
A man is riding a skateboard.|A woman is cutting a potato.|0.0|0.4849623143672943
A woman is taking a shower.|A man is riding a white horse.|0.0|0.4904870092868805
A  man is dancing.|A man is riding a horse.|0.16|0.6011129021644592
A man is rowing a boat.|A man is shooting off a gun.|0.1699999999999999|0.5552457571029663
A man is swinging from a rope attached to the ceiling.|A man is swinging on a rope.|0.6799999999999999|0.8029809594154358
A woman is riding a horse on a beach.|A man is carrying another man on his back.|0.08|0.4956044852733612
A man holds a small animal in one hand.|A man shows off a small monkey.|0.35|0.7086286544799805
A person is folding a square paper piece.|A man is folding paper.|0.65|0.7478205561637878
A person is frying meat in a pan.|A person is holding a skunk.|0.15|0.5010180473327637
A chimpanzee is hurting a woman.|A man is driving a car.|0.0|0.4634948670864105
The woman is peeling shrimp.|The man is holding a lemur.|0.0|0.5594034790992737
Two zebras are playing.|Zebras are socializing.|0.85|0.7143648266792297
A woman is slicing butter.|A woman slices tofu.|0.36|0.7365970015525818
Some men are playing guitars.|Three men are playing guitars and singing together.|0.64|0.7999421954154968
The elephants sprayed water on themselves.|Elephants spray themselves with water.|0.72|0.8578327298164368
A dog sat at the counter of a store.|The dog is standing at the counter.|0.52|0.7717058062553406
Someone drills a hole in a strip of wood with a power drill.|A man drills a hole in a piece of wood.|0.64|0.82999187707901
A woman is slicing some vegetables.|The woman is dicing garlic.|0.5599999999999999|0.7190640568733215
A badger is burrowing a hole.|A badger is digging the earth.|0.92|0.7725262641906738
A woman is water skiing on a lake.|A man is playing a flute.|0.0|0.4970252811908722
A girl is playing a violin.|A baby is laughing and giggling.|0.05|0.5152457356452942
A helicopter is landing on a helipad.|A helicopter lands.|0.7846|0.7971047759056091
A woman is cutting up a chicken.|A woman is slicing meat.|0.55|0.653428316116333
A woman is cutting a cucumber.|A man is playing a guitar.|0.0|0.47435078024864197
A woman rides an elephant in front of an adoring crowd.|A woman rides an elephant.|0.6|0.8011465668678284
A puppy is sliding backwards along the floor.|A puppy is pushing itself backwards.|0.76|0.7714973092079163
A woman splits garlic cloves.|A woman is breaking a head of garlic into cloves.|0.92|0.770627498626709
A dog is looking into swimming pool.|A dog is walking along the edge of a pool.|0.52|0.6908792853355408
A woman mixes a beauty treatment in a glass.|A woman is mixing a cream in a glass with a spoon.|0.72|0.6484792232513428
A man is drawing a picture.|A person is drawing.|0.72|0.8428524136543274
A woman is picking tomatoes.|A woman is pouring batter into a bowl.|0.2|0.5443463921546936
A man is looking at a computer monitor.|A man is using a laptop.|0.55|0.8458818793296814
The boy is riding a tricycle.|A woman is riding a water scooter.|0.25|0.7192820906639099
Two men compete in a tire rolling race.|Two people flipped tractor tires in a race.|0.55|0.6732473373413086
A person is cutting a meat.|A person riding a mechanical bull|0.0|0.4211044907569885
A man is playing a violin.|A woman is using a sewing machine.|0.0|0.5573961734771729
The baby crawled through the doorway.|A baby is crawling across the floor.|0.48|0.7316668033599854
A man is playing keyboard.|A person is playing a piano.|0.44|0.821761965751648
A man is smelling two pizzas.|A woman is feeding a man.|0.04|0.48265936970710754
A monkey pulls the tail of a dog.|A monkey is teasing a dog at the zoo.|0.5599999999999999|0.6154659390449524
A dog lies on his back on a wooden floor.|A dog is laying on the floor.|0.8|0.8009699583053589
A woman is frying something in the pan.|A man is playing his guitar.|0.0|0.41084060072898865
A man puts seasoning in a bowl of water.|The man added seasoning to water in a bowl.|1.0|0.8340945839881897
An elderly woman is pouring oil into a frying pan.|A tied man is putting into water.|0.0|0.4460972547531128
A woman is chopping an onion.|A woman is slicing partially into half of an onion.|0.64|0.7501054406166077
The woman picked up the kangaroo.|A woman is carrying a kangaroo.|0.7|0.7015314102172852
A dog biting on a can.|A dog opens a can of food.|0.35|0.6633782982826233
A woman is deboning a fish.|A man catches a fish.|0.25|0.5914866924285889
A man is mowing grass.|A man is busting concrete.|0.1666|0.717866837978363
A cat is watching a TV.|A man is slicing a leave.|0.0|0.4851683974266052
The boy is stuck in the door of the doghouse.|A child is stuck in a dog house.|0.75|0.7686399817466736
People flip into a swimming pool.|Men are falling into a pool.|0.55|0.6847594380378723
A woman swims underwater.|A woman is swimming.|0.76|0.790391743183136
A man is playing a guitar.|A woman is dancing.|0.04|0.6361148953437805
An airplane is flying in the air.|A South African Airways plane is flying in a blue sky.|0.6799999999999999|0.6760051846504211
A bear is running from two dogs.|A bear is fighting wolves.|0.2799999999999999|0.6332839727401733
A woman is resting in a floating raft.|A woman relaxes in an inner tube.|0.76|0.6041422486305237
A man is dieing in an operating room.|A man is kissing a woman in stage.|0.08|0.503812313079834
A man is holding a leaf.|A woman is watching television.|0.0|0.49830856919288635
A person is riding a horse.|A woman is slicing potatoes.|0.0|0.3895372748374939
A woman is slicing octopus.|A man is playing the guitar.|0.0|0.45894625782966614
A man is breaking water jugs.|A woman is peeling garlic.|0.04|0.5115297436714172
A man is playing a guitar.|A woman is cutting vegetable.|0.0|0.5086228251457214
A girl is eating a cupcake.|A man is slicing a cucumber.|0.0|0.6590191721916199
The little girl played on the grass with a dog and a ball.|A baby plays with a dog and ball.|0.76|0.8188579678535461
People ride and paddle a raft.|Four people are floating on a raft.|0.45|0.628689706325531
The lady cut up a potatoe.|A man is cutting a potato.|0.48|0.7116692662239075
The missile exploded.|A rocket exploded.|0.64|0.8844719529151917
A dog is playing in the snow.|A dog is pawing at a fly in the carpet before it.|0.32|0.5830602049827576
A woman is dancing with other women.|A woman is shredding chicken.|0.08|0.4775863587856293
A boy is pushing a van.|A person is slicing a tomato.|0.0|0.4837782680988312
A boy is making some dance steps.|A boy is pouring something from a pitcher.|0.08|0.5636516213417053
A woman is opening a soda and drinking it.|A woman is riding on an elephant.|0.12|0.4014887511730194
A man is assembling speaker parts.|A man is playing the guitar.|0.2|0.6067747473716736
The dog walked along the edge of the pool.|A dog is walking along a pool.|0.92|0.8423808217048645
Butter is being put into a bowl.|A man cutting butter into a mixing bowl.|0.85|0.6424625515937805
Raccoons are eating.|A man is eating.|0.3|0.5336248874664307
Someone fell off a horse.|A man gets knocked off of a horse.|0.7|0.7387610077857971
A woman peels an apple.|A man pops wheelies on a motorcycle.|0.0|0.4433719515800476
A man is taking some math classes.|A man is rinsing a steak.|0.0|0.5497653484344482
Animals are playing in water.|Two men are playing ping pong.|0.0|0.4992924630641937
A man is riding a horse and jumping over obstacles.|A man is kicking a soccer ball.|0.0666|0.5157866477966309
A person is doing pencil tricks with his hand.|A person is slicing carrots in half.|0.0666|0.4978264272212982
The person lit the cameras on fire.|A person is blow torching cameras.|0.6666000000000001|0.7188451886177063
The man is slicing the tape from the box.|A man is cutting open a box.|0.8666|0.7044621109962463
A man is fishing in the river.|A man is singing while walking down the sidewalk.|0.16|0.5149201154708862
A man is riding a bike.|A woman is dancing in the street.|0.04|0.5332474112510681
A man is doing push-ups.|A woman is cutting some octopus.|0.0|0.5097865462303162
A man is playing guitar.|A woman is slicing up some pork.|0.0|0.4955121576786041
The little boy is singing and playing the guitar.|A baby is playing a guitar.|0.5599999999999999|0.7782859206199646
A woman is powdering her face.|The woman is tapping her fingers on the table.|0.16|0.48046037554740906
A woman is peeling a potato.|A lion is walking around.|0.0|0.5113937854766846
